Tarih,TP_ODEMGZS_MOLDOVACUM
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,7769.0
2008-02-01,9322.0
2008-03-01,10433.0
2008-04-01,11654.0
2008-05-01,15074.0
2008-06-01,18089.0
2008-07-01,16215.0
2008-08-01,18118.0
2008-09-01,14402.0
2008-10-01,10170.0
2008-11-01,6466.0
2008-12-01,7316.0
2009-01-01,5069.0
2009-02-01,4936.0
2009-03-01,5513.0
2009-04-01,6690.0
2009-05-01,12096.0
2009-06-01,14936.0
2009-07-01,15803.0
2009-08-01,16846.0
2009-09-01,12889.0
2009-10-01,10577.0
2009-11-01,6675.0
2009-12-01,6986.0
2010-01-01,3163.0
2010-02-01,3494.0
2010-03-01,3984.0
2010-04-01,4727.0
2010-05-01,10709.0
2010-06-01,13727.0
2010-07-01,13551.0
2010-08-01,13755.0
2010-09-01,11793.0
2010-10-01,8181.0
2010-11-01,3930.0
2010-12-01,5100.0
2011-01-01,3603.0
2011-02-01,3935.0
2011-03-01,4381.0
2011-04-01,6005.0
2011-05-01,9836.0
2011-06-01,14543.0
2011-07-01,14081.0
2011-08-01,13391.0
2011-09-01,12258.0
2011-10-01,8004.0
2011-11-01,4484.0
2011-12-01,4932.0
2012-01-01,3859.0
2012-02-01,3784.0
2012-03-01,4978.0
2012-04-01,5831.0
2012-05-01,10510.0
2012-06-01,14392.0
2012-07-01,15149.0
2012-08-01,15180.0
2012-09-01,13882.0
2012-10-01,9050.0
2012-11-01,5381.0
2012-12-01,6005.0
2013-01-01,4226.0
2013-02-01,4488.0
2013-03-01,4872.0
2013-04-01,5810.0
2013-05-01,11302.0
2013-06-01,14885.0
2013-07-01,15458.0
2013-08-01,15350.0
2013-09-01,14222.0
2013-10-01,8764.0
2013-11-01,5352.0
2013-12-01,6023.0
2014-01-01,4099.0
2014-02-01,4525.0
2014-03-01,4999.0
2014-04-01,5849.0
2014-05-01,11041.0
2014-06-01,17678.0
2014-07-01,19273.0
2014-08-01,19229.0
2014-09-01,18639.0
2014-10-01,10991.0
2014-11-01,7172.0
2014-12-01,7672.0
