Tarih,TP_ODEMGZS_TAYLAND
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,563.0
2008-02-01,516.0
2008-03-01,1003.0
2008-04-01,1081.0
2008-05-01,1005.0
2008-06-01,779.0
2008-07-01,773.0
2008-08-01,954.0
2008-09-01,780.0
2008-10-01,1331.0
2008-11-01,773.0
2008-12-01,537.0
2009-01-01,668.0
2009-02-01,375.0
2009-03-01,1306.0
2009-04-01,1447.0
2009-05-01,1187.0
2009-06-01,681.0
2009-07-01,639.0
2009-08-01,478.0
2009-09-01,737.0
2009-10-01,1270.0
2009-11-01,620.0
2009-12-01,556.0
2010-01-01,542.0
2010-02-01,273.0
2010-03-01,410.0
2010-04-01,1504.0
2010-05-01,867.0
2010-06-01,845.0
2010-07-01,815.0
2010-08-01,629.0
2010-09-01,714.0
2010-10-01,1337.0
2010-11-01,840.0
2010-12-01,483.0
2011-01-01,614.0
2011-02-01,578.0
2011-03-01,1224.0
2011-04-01,1813.0
2011-05-01,1158.0
2011-06-01,835.0
2011-07-01,978.0
2011-08-01,556.0
2011-09-01,1049.0
2011-10-01,1253.0
2011-11-01,629.0
2011-12-01,394.0
2012-01-01,420.0
2012-02-01,344.0
2012-03-01,735.0
2012-04-01,1578.0
2012-05-01,1001.0
2012-06-01,1005.0
2012-07-01,906.0
2012-08-01,767.0
2012-09-01,1011.0
2012-10-01,1594.0
2012-11-01,1380.0
2012-12-01,964.0
2013-01-01,1143.0
2013-02-01,695.0
2013-03-01,1684.0
2013-04-01,3463.0
2013-05-01,3074.0
2013-06-01,1745.0
2013-07-01,1547.0
2013-08-01,1181.0
2013-09-01,1265.0
2013-10-01,2045.0
2013-11-01,1442.0
2013-12-01,1137.0
2014-01-01,1343.0
2014-02-01,989.0
2014-03-01,1832.0
2014-04-01,3971.0
2014-05-01,2866.0
2014-06-01,2241.0
2014-07-01,1662.0
2014-08-01,1331.0
2014-09-01,2019.0
2014-10-01,2985.0
2014-11-01,1641.0
2014-12-01,1533.0
2015-01-01,2381.0
2015-02-01,1080.0
2015-03-01,2187.0
2015-04-01,4290.0
