Tarih,TP_ODEMGZS_TURKMENISTAN
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,5221.0
2008-02-01,5407.0
2008-03-01,6562.0
2008-04-01,6825.0
2008-05-01,6740.0
2008-06-01,6800.0
2008-07-01,7422.0
2008-08-01,8625.0
2008-09-01,7562.0
2008-10-01,7813.0
2008-11-01,8770.0
2008-12-01,9658.0
2009-01-01,9052.0
2009-02-01,7368.0
2009-03-01,9192.0
2009-04-01,9097.0
2009-05-01,8622.0
2009-06-01,9309.0
2009-07-01,10857.0
2009-08-01,11298.0
2009-09-01,10310.0
2009-10-01,13719.0
2009-11-01,13375.0
2009-12-01,13889.0
2010-01-01,6037.0
2010-02-01,6745.0
2010-03-01,8676.0
2010-04-01,8337.0
2010-05-01,8939.0
2010-06-01,8539.0
2010-07-01,9760.0
2010-08-01,10642.0
2010-09-01,8943.0
2010-10-01,11532.0
2010-11-01,9566.0
2010-12-01,10667.0
2011-01-01,7430.0
2011-02-01,7604.0
2011-03-01,9962.0
2011-04-01,10161.0
2011-05-01,10565.0
2011-06-01,10294.0
2011-07-01,12001.0
2011-08-01,12842.0
2011-09-01,11532.0
2011-10-01,13729.0
2011-11-01,10445.0
2011-12-01,12333.0
2012-01-01,9092.0
2012-02-01,9387.0
2012-03-01,11134.0
2012-04-01,11265.0
2012-05-01,10764.0
2012-06-01,10754.0
2012-07-01,12449.0
2012-08-01,12954.0
2012-09-01,11798.0
2012-10-01,11347.0
2012-11-01,11402.0
2012-12-01,11193.0
2013-01-01,8552.0
2013-02-01,9496.0
2013-03-01,10216.0
2013-04-01,10759.0
2013-05-01,11623.0
2013-06-01,12431.0
2013-07-01,13983.0
2013-08-01,14867.0
2013-09-01,13563.0
2013-10-01,12673.0
2013-11-01,12938.0
2013-12-01,12724.0
2014-01-01,8486.0
2014-02-01,10263.0
2014-03-01,12653.0
2014-04-01,12125.0
2014-05-01,14147.0
2014-06-01,15783.0
2014-07-01,16381.0
2014-08-01,20837.0
2014-09-01,17614.0
2014-10-01,16062.0
2014-11-01,14603.0
2014-12-01,15150.0
