Tarih,TP_ODEMGZS_SILI
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,4086.0
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,3549.0
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,3224.0
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,3042.0
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,3853.0
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,5437.0
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,5297.0
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,6938.0
2008-01-01,185.0
2008-02-01,554.0
2008-03-01,248.0
2008-04-01,527.0
2008-05-01,1094.0
2008-06-01,1012.0
2008-07-01,995.0
2008-08-01,844.0
2008-09-01,1513.0
2008-10-01,787.0
2008-11-01,465.0
2008-12-01,157.0
2009-01-01,188.0
2009-02-01,367.0
2009-03-01,282.0
2009-04-01,389.0
2009-05-01,836.0
2009-06-01,860.0
2009-07-01,828.0
2009-08-01,745.0
2009-09-01,1136.0
2009-10-01,1139.0
2009-11-01,455.0
2009-12-01,187.0
2010-01-01,240.0
2010-02-01,442.0
2010-03-01,219.0
2010-04-01,365.0
2010-05-01,989.0
2010-06-01,892.0
2010-07-01,1077.0
2010-08-01,840.0
2010-09-01,1290.0
2010-10-01,1046.0
2010-11-01,512.0
2010-12-01,163.0
2011-01-01,265.0
2011-02-01,830.0
2011-03-01,394.0
2011-04-01,497.0
2011-05-01,1308.0
2011-06-01,1553.0
2011-07-01,1803.0
2011-08-01,1067.0
2011-09-01,2123.0
2011-10-01,1371.0
2011-11-01,460.0
2011-12-01,176.0
2012-01-01,274.0
2012-02-01,469.0
2012-03-01,307.0
2012-04-01,541.0
2012-05-01,1906.0
2012-06-01,1672.0
2012-07-01,2085.0
2012-08-01,1001.0
2012-09-01,2010.0
2012-10-01,1352.0
2012-11-01,903.0
2012-12-01,269.0
2013-01-01,344.0
2013-02-01,746.0
2013-03-01,474.0
2013-04-01,728.0
2013-05-01,1976.0
2013-06-01,1831.0
2013-07-01,2383.0
2013-08-01,1454.0
2013-09-01,3325.0
2013-10-01,1782.0
2013-11-01,583.0
2013-12-01,269.0
2014-01-01,399.0
2014-02-01,809.0
2014-03-01,512.0
2014-04-01,799.0
2014-05-01,2280.0
2014-06-01,2253.0
2014-07-01,2232.0
2014-08-01,1893.0
2014-09-01,2847.0
2014-10-01,2164.0
2014-11-01,852.0
2014-12-01,441.0
2015-01-01,685.0
2015-02-01,1524.0
2015-03-01,912.0
