Tarih,TP_SGEGI_K3
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,535579.0
2003-02-01,574047.0
2003-03-01,591876.0
2003-04-01,629185.0
2003-05-01,1094255.0
2003-06-01,1462604.0
2003-07-01,2000886.0
2003-08-01,3063383.0
2003-09-01,2484700.0
2003-10-01,2072731.0
2003-11-01,1081554.0
2003-12-01,711253.0
2004-01-01,776493.0
2004-02-01,671579.0
2004-03-01,850450.0
2004-04-01,1118261.0
2004-05-01,1696312.0
2004-06-01,1932218.0
2004-07-01,2525427.0
2004-08-01,3436520.0
2004-09-01,2823724.0
2004-10-01,2337510.0
2004-11-01,1174213.0
2004-12-01,919934.0
2005-01-01,960696.0
2005-02-01,777537.0
2005-03-01,1117340.0
2005-04-01,1351782.0
2005-05-01,2181170.0
2005-06-01,2353311.0
2005-07-01,3073718.0
2005-08-01,4002939.0
2005-09-01,3201087.0
2005-10-01,2704246.0
2005-11-01,1359041.0
2005-12-01,1041632.0
2006-01-01,961975.0
2006-02-01,752435.0
2006-03-01,1021400.0
2006-04-01,1392730.0
2006-05-01,1870470.0
2006-06-01,2278204.0
2006-07-01,3007073.0
2006-08-01,3997000.0
2006-09-01,3135379.0
2006-10-01,2226270.0
2006-11-01,1347781.0
2006-12-01,1157954.0
2007-01-01,1048926.0
2007-02-01,922186.0
2007-03-01,1221195.0
2007-04-01,1576592.0
2007-05-01,2222123.0
2007-06-01,2689096.0
2007-07-01,3535458.0
2007-08-01,4649749.0
2007-09-01,3685704.0
2007-10-01,2771875.0
2007-11-01,1618703.0
2007-12-01,1273380.0
2008-01-01,1172736.0
2008-02-01,1073986.0
2008-03-01,1478744.0
2008-04-01,1677867.0
2008-05-01,2769178.0
2008-06-01,3175128.0
2008-07-01,4138652.0
2008-08-01,5298575.0
2008-09-01,3917099.0
2008-10-01,3186698.0
2008-11-01,1762312.0
2008-12-01,1329005.0
2009-01-01,1151951.0
2009-02-01,1057976.0
2009-03-01,1426537.0
2009-04-01,1824721.0
2009-05-01,2656507.0
2009-06-01,3261081.0
2009-07-01,4218369.0
2009-08-01,5491275.0
2009-09-01,3989011.0
2009-10-01,3515977.0
2009-11-01,1945675.0
2009-12-01,1467070.0
2010-01-01,1133655.0
2010-02-01,1105749.0
2010-03-01,1513316.0
2010-04-01,1875486.0
2010-05-01,2952864.0
2010-06-01,3545058.0
2010-07-01,4450459.0
2010-08-01,5145381.0
2010-09-01,4265936.0
2010-10-01,3639656.0
2010-11-01,2002607.0
2010-12-01,1397778.0
2011-01-01,1331253.0
2011-02-01,1261709.0
2011-03-01,1805273.0
2011-04-01,2279409.0
2011-05-01,3265347.0
2011-06-01,3793320.0
2011-07-01,4967182.0
2011-08-01,5139322.0
2011-09-01,4884766.0
2011-10-01,3860053.0
2011-11-01,2151034.0
2011-12-01,1412660.0
2012-01-01,1374401.0
2012-02-01,1209064.0
2012-03-01,1635696.0
2012-04-01,2231943.0
2012-05-01,3194547.0
2012-06-01,3896971.0
2012-07-01,4953266.0
2012-08-01,5384021.0
