Tarih,TP_URISTSAYIL_KAYSERI
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,426.0
2000-07-01,1206.0
2000-08-01,326.0
2000-09-01,27.0
2000-10-01,27.0
2000-11-01,0.0
2000-12-01,147.0
2001-01-01,0.0
2001-02-01,4.0
2001-03-01,3.0
2001-04-01,0.0
2001-05-01,12.0
2001-06-01,652.0
2001-07-01,2110.0
2001-08-01,769.0
2001-09-01,186.0
2001-10-01,110.0
2001-11-01,17.0
2001-12-01,4.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,223.0
2002-06-01,932.0
2002-07-01,5801.0
2002-08-01,924.0
2002-09-01,690.0
2002-10-01,146.0
2002-11-01,127.0
2002-12-01,123.0
2003-01-01,463.0
2003-02-01,102.0
2003-03-01,80.0
2003-04-01,41.0
2003-05-01,377.0
2003-06-01,3540.0
2003-07-01,8641.0
2003-08-01,4228.0
2003-09-01,1039.0
2003-10-01,1761.0
2003-11-01,915.0
2003-12-01,1192.0
2004-01-01,908.0
2004-02-01,834.0
2004-03-01,1606.0
2004-04-01,1471.0
2004-05-01,2372.0
2004-06-01,6849.0
2004-07-01,14873.0
2004-08-01,7129.0
2004-09-01,2901.0
2004-10-01,2313.0
2004-11-01,954.0
2004-12-01,1000.0
2005-01-01,986.0
2005-02-01,920.0
2005-03-01,1161.0
2005-04-01,616.0
2005-05-01,1649.0
2005-06-01,4402.0
2005-07-01,11447.0
2005-08-01,4552.0
2005-09-01,1364.0
2005-10-01,638.0
2005-11-01,737.0
2005-12-01,1135.0
2006-01-01,601.0
2006-02-01,484.0
2006-03-01,634.0
2006-04-01,1150.0
2006-05-01,1259.0
2006-06-01,6438.0
2006-07-01,11061.0
2006-08-01,6677.0
2006-09-01,3023.0
2006-10-01,1082.0
2006-11-01,668.0
2006-12-01,1450.0
2007-01-01,640.0
2007-02-01,478.0
2007-03-01,899.0
2007-04-01,1018.0
2007-05-01,2045.0
2007-06-01,6480.0
2007-07-01,12596.0
2007-08-01,6569.0
2007-09-01,1638.0
2007-10-01,1869.0
2007-11-01,1036.0
2007-12-01,1649.0
2008-01-01,937.0
2008-02-01,1034.0
2008-03-01,1370.0
2008-04-01,1478.0
2008-05-01,2727.0
2008-06-01,5854.0
2008-07-01,11136.0
2008-08-01,5380.0
2008-09-01,2164.0
2008-10-01,3621.0
2008-11-01,2095.0
2008-12-01,1684.0
2009-01-01,769.0
2009-02-01,1060.0
2009-03-01,1462.0
2009-04-01,2433.0
2009-05-01,2661.0
2009-06-01,5515.0
2009-07-01,15155.0
2009-08-01,5211.0
2009-09-01,3171.0
2009-10-01,2620.0
2009-11-01,1648.0
2009-12-01,1852.0
2010-01-01,853.0
2010-02-01,1469.0
2010-03-01,1295.0
2010-04-01,1538.0
2010-05-01,3506.0
2010-06-01,5397.0
2010-07-01,11991.0
2010-08-01,3765.0
2010-09-01,3639.0
2010-10-01,2514.0
2010-11-01,1626.0
2010-12-01,2363.0
2011-01-01,1503.0
2011-02-01,1505.0
2011-03-01,1721.0
2011-04-01,3156.0
2011-05-01,2383.0
2011-06-01,6598.0
2011-07-01,11552.0
2011-08-01,7827.0
2011-09-01,4440.0
2011-10-01,4153.0
2011-11-01,1704.0
2011-12-01,2209.0
2012-01-01,1235.0
2012-02-01,1282.0
2012-03-01,1840.0
2012-04-01,2050.0
2012-05-01,3399.0
2012-06-01,6979.0
2012-07-01,12072.0
2012-08-01,10794.0
2012-09-01,4467.0
2012-10-01,3673.0
2012-11-01,1105.0
2012-12-01,1817.0
2013-01-01,1216.0
2013-02-01,1362.0
2013-03-01,1487.0
2013-04-01,1935.0
2013-05-01,3916.0
2013-06-01,5794.0
2013-07-01,12696.0
2013-08-01,11444.0
2013-09-01,4146.0
2013-10-01,3500.0
2013-11-01,892.0
2013-12-01,1417.0
2014-01-01,790.0
2014-02-01,1188.0
2014-03-01,1088.0
2014-04-01,2990.0
2014-05-01,3146.0
2014-06-01,4567.0
2014-07-01,14356.0
2014-08-01,11821.0
2014-09-01,4694.0
2014-10-01,3901.0
2014-11-01,927.0
2014-12-01,1485.0
2015-01-01,732.0
2015-02-01,820.0
2015-03-01,992.0
2015-04-01,2558.0
2015-05-01,3085.0
2015-06-01,4787.0
2015-07-01,14725.0
2015-08-01,10627.0
2015-09-01,4519.0
2015-10-01,3209.0
2015-11-01,1039.0
2015-12-01,1669.0
2016-01-01,721.0
2016-02-01,817.0
2016-03-01,1094.0
2016-04-01,1829.0
2016-05-01,2130.0
2016-06-01,2884.0
2016-07-01,16573.0
2016-08-01,9759.0
2016-09-01,4218.0
2016-10-01,3259.0
2016-11-01,1100.0
2016-12-01,1665.0
2017-01-01,1172.0
2017-02-01,1595.0
2017-03-01,1239.0
2017-04-01,2001.0
2017-05-01,2544.0
2017-06-01,5416.0
2017-07-01,19395.0
2017-08-01,13663.0
2017-09-01,5331.0
2017-10-01,4307.0
2017-11-01,1789.0
2017-12-01,2978.0
2018-01-01,2759.0
2018-02-01,2108.0
2018-03-01,2227.0
2018-04-01,3094.0
2018-05-01,4387.0
