Tarih,TP_ODEAYRSUNUM6_Q141
2000-01-01,0.0
2000-02-01,0.0
2000-03-01,0.0
2000-04-01,0.0
2000-05-01,0.0
2000-06-01,0.0
2000-07-01,0.0
2000-08-01,0.0
2000-09-01,0.0
2000-10-01,0.0
2000-11-01,0.0
2000-12-01,0.0
2001-01-01,0.0
2001-02-01,0.0
2001-03-01,0.0
2001-04-01,0.0
2001-05-01,0.0
2001-06-01,0.0
2001-07-01,0.0
2001-08-01,0.0
2001-09-01,0.0
2001-10-01,0.0
2001-11-01,0.0
2001-12-01,0.0
2002-01-01,0.0
2002-02-01,0.0
2002-03-01,0.0
2002-04-01,0.0
2002-05-01,0.0
2002-06-01,0.0
2002-07-01,0.0
2002-08-01,0.0
2002-09-01,0.0
2002-10-01,0.0
2002-11-01,0.0
2002-12-01,0.0
2003-01-01,0.0
2003-02-01,0.0
2003-03-01,0.0
2003-04-01,0.0
2003-05-01,0.0
2003-06-01,0.0
2003-07-01,0.0
2003-08-01,0.0
2003-09-01,0.0
2003-10-01,0.0
2003-11-01,0.0
2003-12-01,0.0
2004-01-01,0.0
2004-02-01,0.0
2004-03-01,0.0
2004-04-01,0.0
2004-05-01,0.0
2004-06-01,0.0
2004-07-01,0.0
2004-08-01,0.0
2004-09-01,0.0
2004-10-01,0.0
2004-11-01,0.0
2004-12-01,0.0
2005-01-01,0.0
2005-02-01,0.0
2005-03-01,0.0
2005-04-01,0.0
2005-05-01,0.0
2005-06-01,0.0
2005-07-01,0.0
2005-08-01,0.0
2005-09-01,0.0
2005-10-01,0.0
2005-11-01,0.0
2005-12-01,0.0
2006-01-01,0.0
2006-02-01,0.0
2006-03-01,0.0
2006-04-01,0.0
2006-05-01,0.0
2006-06-01,0.0
2006-07-01,0.0
2006-08-01,0.0
2006-09-01,0.0
2006-10-01,0.0
2006-11-01,0.0
2006-12-01,0.0
2007-01-01,0.0
2007-02-01,0.0
2007-03-01,0.0
2007-04-01,0.0
2007-05-01,0.0
2007-06-01,0.0
2007-07-01,0.0
2007-08-01,0.0
2007-09-01,0.0
2007-10-01,0.0
2007-11-01,0.0
2007-12-01,0.0
2008-01-01,242.0
2008-02-01,234.0
2008-03-01,1711.0
2008-04-01,-1636.0
2008-05-01,35.0
2008-06-01,1084.0
2008-07-01,-1278.0
2008-08-01,59.0
2008-09-01,527.0
2008-10-01,132.0
2008-11-01,-307.0
2008-12-01,-37.0
2009-01-01,361.0
2009-02-01,-297.0
2009-03-01,63.0
2009-04-01,378.0
2009-05-01,-450.0
2009-06-01,-91.0
2009-07-01,-58.0
2009-08-01,335.0
2009-09-01,-533.0
2009-10-01,-183.0
2009-11-01,-199.0
2009-12-01,48.0
2010-01-01,492.0
2010-02-01,-150.0
2010-03-01,-155.0
2010-04-01,-452.0
2010-05-01,109.0
2010-06-01,-188.0
2010-07-01,56.0
2010-08-01,-45.0
2010-09-01,43.0
2010-10-01,66.0
2010-11-01,39.0
2010-12-01,45.0
2011-01-01,474.0
2011-02-01,91.0
2011-03-01,172.0
2011-04-01,124.0
2011-05-01,137.0
2011-06-01,794.0
2011-07-01,40.0
2011-08-01,300.0
2011-09-01,-127.0
2011-10-01,34.0
2011-11-01,3.0
2011-12-01,148.0
2012-01-01,821.0
2012-02-01,120.0
2012-03-01,306.0
2012-04-01,5.0
2012-05-01,-189.0
2012-06-01,-387.0
2012-07-01,176.0
2012-08-01,162.0
2012-09-01,471.0
2012-10-01,40.0
2012-11-01,-227.0
2012-12-01,362.0
2013-01-01,512.0
2013-02-01,-619.0
2013-03-01,404.0
2013-04-01,1027.0
2013-05-01,-149.0
2013-06-01,685.0
2013-07-01,-166.0
2013-08-01,1360.0
2013-09-01,-66.0
2013-10-01,-910.0
2013-11-01,-299.0
2013-12-01,45.0
2014-01-01,633.0
2014-02-01,-773.0
2014-03-01,-172.0
2014-04-01,231.0
2014-05-01,63.0
2014-06-01,160.0
2014-07-01,786.0
2014-08-01,218.0
2014-09-01,994.0
2014-10-01,-988.0
2014-11-01,-172.0
2014-12-01,873.0
2015-01-01,853.0
2015-02-01,777.0
2015-03-01,1413.0
2015-04-01,-132.0
2015-05-01,245.0
2015-06-01,312.0
2015-07-01,-491.0
2015-08-01,1347.0
2015-09-01,803.0
2015-10-01,913.0
2015-11-01,461.0
2015-12-01,223.0
2016-01-01,1572.0
2016-02-01,-230.0
2016-03-01,-177.0
2016-04-01,-66.0
2016-05-01,-182.0
2016-06-01,-627.0
2016-07-01,361.0
2016-08-01,227.0
2016-09-01,-489.0
2016-10-01,-20.0
2016-11-01,418.0
2016-12-01,946.0
2017-01-01,698.0
2017-02-01,233.0
2017-03-01,722.0
2017-04-01,0.0
2017-05-01,368.0
2017-06-01,140.0
2017-07-01,-10.0
2017-08-01,425.0
2017-09-01,-32.0
2017-10-01,100.0
2017-11-01,-112.0
2017-12-01,-544.0
2018-01-01,1662.0
2018-02-01,-165.0
2018-03-01,624.0
2018-04-01,11.0
2018-05-01,256.0
2018-06-01,-294.0
2018-07-01,299.0
2018-08-01,-37.0
2018-09-01,-10.0
2018-10-01,135.0
2018-11-01,176.0
2018-12-01,507.0
2019-01-01,1593.0
