Tarih,TP_ODEAYRSUNUM6_Q171
2000-01-01,88.0
2000-02-01,-72.0
2000-03-01,-171.0
2000-04-01,-307.0
2000-05-01,-52.0
2000-06-01,124.0
2000-07-01,-118.0
2000-08-01,-83.0
2000-09-01,-153.0
2000-10-01,-240.0
2000-11-01,-24.0
2000-12-01,1125.0
2001-01-01,-204.0
2001-02-01,-136.0
2001-03-01,-76.0
2001-04-01,-162.0
2001-05-01,-178.0
2001-06-01,-1265.0
2001-07-01,1074.0
2001-08-01,-36.0
2001-09-01,-119.0
2001-10-01,-211.0
2001-11-01,-457.0
2001-12-01,-207.0
2002-01-01,-50.0
2002-02-01,8952.0
2002-03-01,-150.0
2002-04-01,969.0
2002-05-01,-59.0
2002-06-01,-141.0
2002-07-01,1064.0
2002-08-01,1675.0
2002-09-01,-122.0
2002-10-01,-69.0
2002-11-01,-92.0
2002-12-01,-143.0
2003-01-01,-168.0
2003-02-01,-180.0
2003-03-01,-207.0
2003-04-01,481.0
2003-05-01,-158.0
2003-06-01,-327.0
2003-07-01,-150.0
2003-08-01,445.0
2003-09-01,-289.0
2003-10-01,-237.0
2003-11-01,-211.0
2003-12-01,236.0
2004-01-01,-166.0
2004-02-01,-108.0
2004-03-01,-286.0
2004-04-01,664.0
2004-05-01,-222.0
2004-06-01,-324.0
2004-07-01,477.0
2004-08-01,552.0
2004-09-01,-157.0
2004-10-01,-279.0
2004-11-01,-193.0
2004-12-01,-225.0
2005-01-01,-133.0
2005-02-01,-132.0
2005-03-01,-116.0
2005-04-01,-329.0
2005-05-01,-722.0
2005-06-01,-138.0
2005-07-01,-248.0
2005-08-01,-1388.0
2005-09-01,-347.0
2005-10-01,-621.0
2005-11-01,-1712.0
2005-12-01,1249.0
2006-01-01,-305.0
2006-02-01,-1407.0
2006-03-01,-281.0
2006-04-01,-470.0
2006-05-01,-1608.0
2006-06-01,66.0
2006-07-01,-316.0
2006-08-01,853.0
2006-09-01,-176.0
2006-10-01,-813.0
2006-11-01,-1574.0
2006-12-01,808.0
2007-01-01,-190.0
2007-02-01,-1735.0
2007-03-01,-213.0
2007-04-01,-947.0
2007-05-01,647.0
2007-06-01,-106.0
2007-07-01,-23.0
2007-08-01,-396.0
2007-09-01,-289.0
2007-10-01,-580.0
2007-11-01,-454.0
2007-12-01,385.0
2008-01-01,-60.0
2008-02-01,-359.0
2008-03-01,147.0
2008-04-01,14.0
2008-05-01,3538.0
2008-06-01,-243.0
2008-07-01,710.0
2008-08-01,-234.0
2008-09-01,-107.0
2008-10-01,-392.0
2008-11-01,-82.0
2008-12-01,511.0
2009-01-01,-124.0
2009-02-01,116.0
2009-03-01,-327.0
2009-04-01,-77.0
2009-05-01,-103.0
2009-06-01,-104.0
2009-07-01,960.0
2009-08-01,493.0
2009-09-01,127.0
2009-10-01,-98.0
2009-11-01,-110.0
2009-12-01,169.0
2010-01-01,358.0
2010-02-01,8.0
2010-03-01,90.0
2010-04-01,756.0
2010-05-01,-14.0
2010-06-01,-259.0
2010-07-01,-71.0
2010-08-01,864.0
2010-09-01,-355.0
2010-10-01,6.0
2010-11-01,-385.0
2010-12-01,500.0
2011-01-01,55.0
2011-02-01,-219.0
2011-03-01,-149.0
2011-04-01,-552.0
2011-05-01,-152.0
2011-06-01,1233.0
2011-07-01,234.0
2011-08-01,-665.0
2011-09-01,-37.0
2011-10-01,-91.0
2011-11-01,-555.0
2011-12-01,144.0
2012-01-01,123.0
2012-02-01,-457.0
2012-03-01,-68.0
2012-04-01,-318.0
2012-05-01,-758.0
2012-06-01,350.0
2012-07-01,132.0
2012-08-01,-372.0
2012-09-01,-40.0
2012-10-01,-191.0
2012-11-01,-549.0
2012-12-01,52.0
2013-01-01,-115.0
2013-02-01,-461.0
2013-03-01,228.0
2013-04-01,-165.0
2013-05-01,-619.0
2013-06-01,-59.0
2013-07-01,709.0
2013-08-01,100.0
2013-09-01,-113.0
2013-10-01,-101.0
2013-11-01,-190.0
2013-12-01,-88.0
2014-01-01,-138.0
2014-02-01,-19.0
2014-03-01,-105.0
2014-04-01,-215.0
2014-05-01,-173.0
2014-06-01,-116.0
2014-07-01,84.0
2014-08-01,-94.0
2014-09-01,-137.0
2014-10-01,317.0
2014-11-01,-101.0
2014-12-01,-189.0
2015-01-01,-297.0
2015-02-01,57.0
2015-03-01,-67.0
2015-04-01,-143.0
2015-05-01,-101.0
2015-06-01,150.0
2015-07-01,-114.0
2015-08-01,-7.0
2015-09-01,-75.0
2015-10-01,-110.0
2015-11-01,-27.0
2015-12-01,-455.0
2016-01-01,-114.0
2016-02-01,20.0
2016-03-01,-486.0
2016-04-01,-156.0
2016-05-01,12.0
2016-06-01,-151.0
2016-07-01,85.0
2016-08-01,24.0
2016-09-01,-60.0
2016-10-01,-51.0
2016-11-01,-11.0
2016-12-01,-37.0
2017-01-01,170.0
2017-02-01,135.0
2017-03-01,-104.0
2017-04-01,-150.0
2017-05-01,-126.0
2017-06-01,-173.0
2017-07-01,-101.0
2017-08-01,-102.0
2017-09-01,-437.0
2017-10-01,-123.0
2017-11-01,248.0
2017-12-01,-604.0
2018-01-01,-120.0
2018-02-01,161.0
2018-03-01,25.0
2018-04-01,-166.0
2018-05-01,-55.0
2018-06-01,-150.0
2018-07-01,57.0
2018-08-01,-6.0
2018-09-01,-321.0
2018-10-01,-92.0
2018-11-01,-107.0
2018-12-01,-48.0
2019-01-01,-95.0
2019-02-01,63.0
2019-03-01,-91.0
