Tarih,TP_ODEAYRSUNUM6_Q33
2000-01-01,85.0
2000-02-01,74.0
2000-03-01,81.0
2000-04-01,87.0
2000-05-01,202.0
2000-06-01,103.0
2000-07-01,170.0
2000-08-01,130.0
2000-09-01,119.0
2000-10-01,135.0
2000-11-01,74.0
2000-12-01,42.0
2001-01-01,158.0
2001-02-01,80.0
2001-03-01,92.0
2001-04-01,111.0
2001-05-01,100.0
2001-06-01,89.0
2001-07-01,178.0
2001-08-01,75.0
2001-09-01,64.0
2001-10-01,30.0
2001-11-01,53.0
2001-12-01,28.0
2002-01-01,61.0
2002-02-01,74.0
2002-03-01,48.0
2002-04-01,84.0
2002-05-01,56.0
2002-06-01,50.0
2002-07-01,76.0
2002-08-01,89.0
2002-09-01,75.0
2002-10-01,107.0
2002-11-01,113.0
2002-12-01,103.0
2003-01-01,76.0
2003-02-01,74.0
2003-03-01,49.0
2003-04-01,76.0
2003-05-01,73.0
2003-06-01,49.0
2003-07-01,77.0
2003-08-01,83.0
2003-09-01,70.0
2003-10-01,104.0
2003-11-01,65.0
2003-12-01,66.0
2004-01-01,55.0
2004-02-01,76.0
2004-03-01,91.0
2004-04-01,131.0
2004-05-01,82.0
2004-06-01,69.0
2004-07-01,110.0
2004-08-01,108.0
2004-09-01,329.0
2004-10-01,138.0
2004-11-01,151.0
2004-12-01,162.0
2005-01-01,80.0
2005-02-01,81.0
2005-03-01,123.0
2005-04-01,116.0
2005-05-01,144.0
2005-06-01,133.0
2005-07-01,189.0
2005-08-01,189.0
2005-09-01,158.0
2005-10-01,140.0
2005-11-01,117.0
2005-12-01,99.0
2006-01-01,89.0
2006-02-01,71.0
2006-03-01,92.0
2006-04-01,116.0
2006-05-01,133.0
2006-06-01,148.0
2006-07-01,200.0
2006-08-01,211.0
2006-09-01,190.0
2006-10-01,137.0
2006-11-01,113.0
2006-12-01,180.0
2007-01-01,134.0
2007-02-01,112.0
2007-03-01,156.0
2007-04-01,168.0
2007-05-01,175.0
2007-06-01,218.0
2007-07-01,247.0
2007-08-01,260.0
2007-09-01,226.0
2007-10-01,205.0
2007-11-01,154.0
2007-12-01,177.0
2008-01-01,167.0
2008-02-01,142.0
2008-03-01,191.0
2008-04-01,209.0
2008-05-01,252.0
2008-06-01,314.0
2008-07-01,358.0
2008-08-01,412.0
2008-09-01,305.0
2008-10-01,251.0
2008-11-01,237.0
2008-12-01,243.0
2009-01-01,180.0
2009-02-01,155.0
2009-03-01,204.0
2009-04-01,244.0
2009-05-01,264.0
2009-06-01,292.0
2009-07-01,381.0
2009-08-01,422.0
2009-09-01,341.0
2009-10-01,345.0
2009-11-01,265.0
2009-12-01,258.0
2010-01-01,218.0
2010-02-01,198.0
2010-03-01,245.0
2010-04-01,270.0
2010-05-01,292.0
2010-06-01,302.0
2010-07-01,431.0
2010-08-01,425.0
2010-09-01,368.0
2010-10-01,392.0
2010-11-01,321.0
2010-12-01,271.0
2011-01-01,276.0
2011-02-01,315.0
2011-03-01,413.0
2011-04-01,400.0
2011-05-01,414.0
2011-06-01,456.0
2011-07-01,620.0
2011-08-01,546.0
2011-09-01,503.0
2011-10-01,528.0
2011-11-01,400.0
2011-12-01,377.0
2012-01-01,354.0
2012-02-01,318.0
2012-03-01,402.0
2012-04-01,485.0
2012-05-01,625.0
2012-06-01,575.0
2012-07-01,618.0
2012-08-01,659.0
2012-09-01,667.0
2012-10-01,594.0
2012-11-01,465.0
2012-12-01,459.0
2013-01-01,550.0
2013-02-01,570.0
2013-03-01,851.0
2013-04-01,907.0
2013-05-01,954.0
2013-06-01,985.0
2013-07-01,914.0
2013-08-01,907.0
2013-09-01,952.0
2013-10-01,843.0
2013-11-01,780.0
2013-12-01,774.0
2014-01-01,715.0
2014-02-01,720.0
2014-03-01,843.0
2014-04-01,858.0
2014-05-01,906.0
2014-06-01,910.0
2014-07-01,941.0
2014-08-01,1063.0
2014-09-01,987.0
2014-10-01,935.0
2014-11-01,743.0
2014-12-01,855.0
2015-01-01,661.0
2015-02-01,632.0
2015-03-01,760.0
2015-04-01,737.0
2015-05-01,783.0
2015-06-01,827.0
2015-07-01,786.0
2015-08-01,925.0
2015-09-01,832.0
2015-10-01,756.0
2015-11-01,662.0
2015-12-01,671.0
2016-01-01,398.0
2016-02-01,411.0
2016-03-01,541.0
2016-04-01,567.0
2016-05-01,623.0
2016-06-01,659.0
2016-07-01,706.0
2016-08-01,993.0
2016-09-01,882.0
2016-10-01,764.0
2016-11-01,583.0
2016-12-01,635.0
2017-01-01,478.0
2017-02-01,493.0
2017-03-01,647.0
2017-04-01,686.0
2017-05-01,774.0
2017-06-01,810.0
2017-07-01,893.0
2017-08-01,1226.0
2017-09-01,1083.0
2017-10-01,943.0
2017-11-01,708.0
2017-12-01,774.0
2018-01-01,577.0
2018-02-01,592.0
2018-03-01,782.0
2018-04-01,829.0
2018-05-01,940.0
2018-06-01,992.0
2018-07-01,1101.0
2018-08-01,1500.0
2018-09-01,1319.0
2018-10-01,1146.0
2018-11-01,858.0
2018-12-01,935.0
2019-01-01,712.0
2019-02-01,599.0
2019-03-01,731.0
2019-04-01,878.0
2019-05-01,838.0
2019-06-01,1020.0
2019-07-01,1293.0
2019-08-01,1415.0
2019-09-01,1102.0
2019-10-01,1067.0
2019-11-01,834.0
2019-12-01,995.0
2020-01-01,762.0
2020-02-01,617.0
2020-03-01,292.0
2020-04-01,20.0
2020-05-01,16.0
2020-06-01,58.0
2020-07-01,203.0
2020-08-01,303.0
2020-09-01,282.0
2020-10-01,295.0
2020-11-01,245.0
2020-12-01,296.0
2021-01-01,278.0
2021-02-01,246.0
2021-03-01,342.0
2021-04-01,332.0
2021-05-01,327.0
2021-06-01,515.0
2021-07-01,926.0
2021-08-01,1082.0
2021-09-01,904.0
2021-10-01,810.0
2021-11-01,616.0
2021-12-01,698.0
2022-01-01,681.0
2022-02-01,616.0
2022-03-01,831.0
2022-04-01,1002.0
2022-05-01,1222.0
2022-06-01,1553.0
2022-07-01,2023.0
2022-08-01,2174.0
2022-09-01,1851.0
2022-10-01,1668.0
2022-11-01,1309.0
2022-12-01,1494.0
2023-01-01,1302.0
2023-02-01,1026.0
2023-03-01,1307.0
2023-04-01,1504.0
2023-05-01,1575.0
2023-06-01,1806.0
2023-07-01,2221.0
2023-08-01,2356.0
2023-09-01,2022.0
2023-10-01,1880.0
2023-11-01,1291.0
2023-12-01,1489.0
2024-01-01,1343.0
2024-02-01,1209.0
2024-03-01,1364.0
2024-04-01,1501.0
2024-05-01,1720.0
2024-06-01,1896.0
2024-07-01,2230.0
2024-08-01,2407.0
2024-09-01,2015.0
2024-10-01,1940.0
2024-11-01,1452.0
2024-12-01,1551.0
2025-01-01,1477.0
2025-02-01,1188.0
2025-03-01,1375.0
2025-04-01,1846.0
2025-05-01,1875.0
2025-06-01,2023.0
2025-07-01,2440.0
2025-08-01,2672.0
