Tarih,TP_ODEAYRSUNUM6_Q37
2000-01-01,78.0
2000-02-01,97.0
2000-03-01,103.0
2000-04-01,113.0
2000-05-01,124.0
2000-06-01,131.0
2000-07-01,125.0
2000-08-01,131.0
2000-09-01,121.0
2000-10-01,133.0
2000-11-01,138.0
2000-12-01,113.0
2001-01-01,98.0
2001-02-01,89.0
2001-03-01,77.0
2001-04-01,77.0
2001-05-01,94.0
2001-06-01,87.0
2001-07-01,92.0
2001-08-01,94.0
2001-09-01,89.0
2001-10-01,89.0
2001-11-01,91.0
2001-12-01,88.0
2002-01-01,82.0
2002-02-01,75.0
2002-03-01,97.0
2002-04-01,106.0
2002-05-01,114.0
2002-06-01,104.0
2002-07-01,123.0
2002-08-01,118.0
2002-09-01,117.0
2002-10-01,128.0
2002-11-01,127.0
2002-12-01,137.0
2003-01-01,126.0
2003-02-01,119.0
2003-03-01,169.0
2003-04-01,142.0
2003-05-01,162.0
2003-06-01,170.0
2003-07-01,180.0
2003-08-01,189.0
2003-09-01,187.0
2003-10-01,197.0
2003-11-01,159.0
2003-12-01,234.0
2004-01-01,191.0
2004-02-01,188.0
2004-03-01,254.0
2004-04-01,237.0
2004-05-01,234.0
2004-06-01,255.0
2004-07-01,258.0
2004-08-01,245.0
2004-09-01,263.0
2004-10-01,245.0
2004-11-01,254.0
2004-12-01,283.0
2005-01-01,223.0
2005-02-01,265.0
2005-03-01,324.0
2005-04-01,304.0
2005-05-01,293.0
2005-06-01,298.0
2005-07-01,288.0
2005-08-01,328.0
2005-09-01,319.0
2005-10-01,299.0
2005-11-01,275.0
2005-12-01,332.0
2006-01-01,200.0
2006-02-01,217.0
2006-03-01,239.0
2006-04-01,267.0
2006-05-01,251.0
2006-06-01,234.0
2006-07-01,230.0
2006-08-01,258.0
2006-09-01,218.0
2006-10-01,308.0
2006-11-01,364.0
2006-12-01,355.0
2007-01-01,226.0
2007-02-01,314.0
2007-03-01,284.0
2007-04-01,290.0
2007-05-01,530.0
2007-06-01,367.0
2007-07-01,571.0
2007-08-01,427.0
2007-09-01,600.0
2007-10-01,499.0
2007-11-01,515.0
2007-12-01,591.0
2008-01-01,366.0
2008-02-01,644.0
2008-03-01,357.0
2008-04-01,637.0
2008-05-01,510.0
2008-06-01,564.0
2008-07-01,695.0
2008-08-01,672.0
2008-09-01,539.0
2008-10-01,375.0
2008-11-01,394.0
2008-12-01,340.0
2009-01-01,406.0
2009-02-01,310.0
2009-03-01,398.0
2009-04-01,333.0
2009-05-01,234.0
2009-06-01,294.0
2009-07-01,293.0
2009-08-01,305.0
2009-09-01,478.0
2009-10-01,473.0
2009-11-01,337.0
2009-12-01,626.0
2010-01-01,372.0
2010-02-01,356.0
2010-03-01,490.0
2010-04-01,523.0
2010-05-01,506.0
2010-06-01,497.0
2010-07-01,456.0
2010-08-01,573.0
2010-09-01,437.0
2010-10-01,487.0
2010-11-01,522.0
2010-12-01,631.0
2011-01-01,439.0
2011-02-01,540.0
2011-03-01,561.0
2011-04-01,563.0
2011-05-01,548.0
2011-06-01,471.0
2011-07-01,453.0
2011-08-01,432.0
2011-09-01,666.0
2011-10-01,492.0
2011-11-01,467.0
2011-12-01,491.0
2012-01-01,439.0
2012-02-01,434.0
2012-03-01,428.0
2012-04-01,446.0
2012-05-01,680.0
2012-06-01,596.0
2012-07-01,544.0
2012-08-01,583.0
2012-09-01,551.0
2012-10-01,476.0
2012-11-01,559.0
2012-12-01,571.0
2013-01-01,438.0
2013-02-01,431.0
2013-03-01,477.0
2013-04-01,564.0
2013-05-01,557.0
2013-06-01,489.0
2013-07-01,550.0
2013-08-01,441.0
2013-09-01,489.0
2013-10-01,456.0
2013-11-01,488.0
2013-12-01,545.0
2014-01-01,472.0
2014-02-01,389.0
2014-03-01,469.0
2014-04-01,479.0
2014-05-01,494.0
2014-06-01,513.0
2014-07-01,489.0
2014-08-01,492.0
2014-09-01,515.0
2014-10-01,473.0
2014-11-01,471.0
2014-12-01,483.0
2015-01-01,391.0
2015-02-01,404.0
2015-03-01,447.0
2015-04-01,413.0
2015-05-01,398.0
2015-06-01,417.0
2015-07-01,401.0
2015-08-01,360.0
2015-09-01,345.0
2015-10-01,401.0
2015-11-01,356.0
2015-12-01,398.0
2016-01-01,322.0
2016-02-01,370.0
2016-03-01,425.0
2016-04-01,379.0
2016-05-01,410.0
2016-06-01,470.0
2016-07-01,358.0
2016-08-01,403.0
2016-09-01,373.0
2016-10-01,387.0
2016-11-01,396.0
2016-12-01,408.0
2017-01-01,335.0
2017-02-01,317.0
2017-03-01,411.0
2017-04-01,379.0
2017-05-01,427.0
2017-06-01,374.0
2017-07-01,424.0
2017-08-01,435.0
2017-09-01,471.0
2017-10-01,458.0
2017-11-01,465.0
2017-12-01,464.0
2018-01-01,524.0
2018-02-01,474.0
2018-03-01,533.0
2018-04-01,513.0
2018-05-01,562.0
2018-06-01,487.0
2018-07-01,503.0
2018-08-01,398.0
2018-09-01,418.0
2018-10-01,398.0
2018-11-01,403.0
2018-12-01,376.0
2019-01-01,480.0
2019-02-01,445.0
2019-03-01,527.0
2019-04-01,540.0
2019-05-01,576.0
2019-06-01,433.0
2019-07-01,530.0
2019-08-01,449.0
2019-09-01,492.0
2019-10-01,501.0
2019-11-01,503.0
2019-12-01,561.0
2020-01-01,633.0
2020-02-01,500.0
2020-03-01,533.0
2020-04-01,445.0
2020-05-01,409.0
2020-06-01,484.0
2020-07-01,511.0
2020-08-01,479.0
2020-09-01,558.0
2020-10-01,564.0
2020-11-01,619.0
2020-12-01,662.0
2021-01-01,524.0
2021-02-01,567.0
2021-03-01,724.0
2021-04-01,694.0
2021-05-01,665.0
2021-06-01,703.0
2021-07-01,674.0
2021-08-01,762.0
2021-09-01,760.0
2021-10-01,726.0
2021-11-01,902.0
2021-12-01,1013.0
2022-01-01,1029.0
2022-02-01,1009.0
2022-03-01,1096.0
2022-04-01,1131.0
2022-05-01,1204.0
2022-06-01,1243.0
2022-07-01,1102.0
2022-08-01,1183.0
2022-09-01,1113.0
2022-10-01,994.0
2022-11-01,1057.0
2022-12-01,1037.0
2023-01-01,1110.0
2023-02-01,1019.0
2023-03-01,1231.0
2023-04-01,1149.0
2023-05-01,1325.0
2023-06-01,1020.0
2023-07-01,1233.0
2023-08-01,1109.0
2023-09-01,1028.0
2023-10-01,1118.0
2023-11-01,1040.0
2023-12-01,1025.0
2024-01-01,1157.0
2024-02-01,1259.0
2024-03-01,1403.0
2024-04-01,1402.0
2024-05-01,1464.0
2024-06-01,1197.0
2024-07-01,1430.0
2024-08-01,1299.0
2024-09-01,1267.0
2024-10-01,1410.0
2024-11-01,1309.0
2024-12-01,1422.0
2025-01-01,1023.0
2025-02-01,953.0
2025-03-01,1047.0
2025-04-01,1142.0
2025-05-01,1090.0
2025-06-01,996.0
2025-07-01,1052.0
2025-08-01,898.0
