Tarih,TP_ODEAYRSUNUM6_Q55
2000-01-01,38.0
2000-02-01,12.0
2000-03-01,11.0
2000-04-01,12.0
2000-05-01,12.0
2000-06-01,15.0
2000-07-01,20.0
2000-08-01,17.0
2000-09-01,4.0
2000-10-01,10.0
2000-11-01,14.0
2000-12-01,8.0
2001-01-01,35.0
2001-02-01,10.0
2001-03-01,4.0
2001-04-01,9.0
2001-05-01,11.0
2001-06-01,5.0
2001-07-01,18.0
2001-08-01,4.0
2001-09-01,5.0
2001-10-01,8.0
2001-11-01,4.0
2001-12-01,6.0
2002-01-01,7.0
2002-02-01,6.0
2002-03-01,9.0
2002-04-01,9.0
2002-05-01,14.0
2002-06-01,4.0
2002-07-01,4.0
2002-08-01,17.0
2002-09-01,5.0
2002-10-01,15.0
2002-11-01,12.0
2002-12-01,5.0
2003-01-01,15.0
2003-02-01,9.0
2003-03-01,11.0
2003-04-01,13.0
2003-05-01,16.0
2003-06-01,3.0
2003-07-01,23.0
2003-08-01,20.0
2003-09-01,6.0
2003-10-01,13.0
2003-11-01,24.0
2003-12-01,14.0
2004-01-01,29.0
2004-02-01,34.0
2004-03-01,13.0
2004-04-01,24.0
2004-05-01,28.0
2004-06-01,33.0
2004-07-01,38.0
2004-08-01,51.0
2004-09-01,11.0
2004-10-01,28.0
2004-11-01,51.0
2004-12-01,22.0
2005-01-01,56.0
2005-02-01,45.0
2005-03-01,10.0
2005-04-01,29.0
2005-05-01,51.0
2005-06-01,24.0
2005-07-01,48.0
2005-08-01,52.0
2005-09-01,16.0
2005-10-01,33.0
2005-11-01,56.0
2005-12-01,19.0
2006-01-01,41.0
2006-02-01,80.0
2006-03-01,26.0
2006-04-01,28.0
2006-05-01,54.0
2006-06-01,26.0
2006-07-01,56.0
2006-08-01,75.0
2006-09-01,23.0
2006-10-01,37.0
2006-11-01,56.0
2006-12-01,29.0
2007-01-01,58.0
2007-02-01,73.0
2007-03-01,20.0
2007-04-01,33.0
2007-05-01,93.0
2007-06-01,27.0
2007-07-01,82.0
2007-08-01,78.0
2007-09-01,39.0
2007-10-01,40.0
2007-11-01,74.0
2007-12-01,30.0
2008-01-01,58.0
2008-02-01,108.0
2008-03-01,47.0
2008-04-01,47.0
2008-05-01,79.0
2008-06-01,45.0
2008-07-01,85.0
2008-08-01,82.0
2008-09-01,41.0
2008-10-01,52.0
2008-11-01,52.0
2008-12-01,33.0
2009-01-01,47.0
2009-02-01,44.0
2009-03-01,56.0
2009-04-01,52.0
2009-05-01,51.0
2009-06-01,45.0
2009-07-01,95.0
2009-08-01,51.0
2009-09-01,33.0
2009-10-01,49.0
2009-11-01,59.0
2009-12-01,66.0
2010-01-01,92.0
2010-02-01,66.0
