Tarih,TP_OSUVAG17
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,3355713420.0
2002-02-01,3376338865.0
2002-03-01,3414881255.0
2002-04-01,3523564716.0
2002-05-01,3790959627.0
2002-06-01,3809440827.0
2002-07-01,3566565163.0
2002-08-01,3627939369.0
2002-09-01,3663359846.0
2002-10-01,3683016335.0
2002-11-01,3795618069.0
2002-12-01,3915829125.0
2003-01-01,3931936341.0
2003-02-01,3934768213.0
2003-03-01,3918969560.0
2003-04-01,3955895707.0
2003-05-01,3998247453.0
2003-06-01,3918641216.0
2003-07-01,3879054586.0
2003-08-01,3875439628.0
2003-09-01,3834216254.0
2003-10-01,3817400739.0
2003-11-01,3524353446.0
2003-12-01,3510695867.0
2004-01-01,3528931926.0
2004-02-01,3547323761.0
2004-03-01,3559558759.0
2004-04-01,3448796010.0
2004-05-01,3497584967.0
2004-06-01,3244114126.0
2004-07-01,3425155714.0
2004-08-01,3416504288.0
2004-09-01,3444247880.0
2004-10-01,3492046284.0
2004-11-01,3539520552.0
2004-12-01,3444851433.0
2005-01-01,3394693750.0
2005-02-01,3408321986.0
2005-03-01,3431481320.0
2005-04-01,3429214565.0
2005-05-01,3407042651.0
2005-06-01,3262918312.0
2005-07-01,3346373035.0
2005-08-01,2987383749.0
2005-09-01,3016436850.0
2005-10-01,2424997198.0
2005-11-01,4106450636.0
2005-12-01,4584778200.0
2006-01-01,4719146554.0
2006-02-01,4779164978.0
2006-03-01,4852563681.0
2006-04-01,4836703938.0
2006-05-01,4883197975.0
2006-06-01,4821560614.0
2006-07-01,4881938992.0
2006-08-01,4866271287.0
2006-09-01,4958422987.0
2006-10-01,5043197786.0
2006-11-01,4804072969.0
2006-12-01,5748168293.0
2007-01-01,5793821280.0
2007-02-01,5809224764.0
2007-03-01,6271728694.0
2007-04-01,6439787644.0
2007-05-01,6507324299.0
2007-06-01,6505274397.0
2007-07-01,6729974860.0
2007-08-01,6858048933.0
2007-09-01,7123959875.0
2007-10-01,7282753642.0
2007-11-01,7416952838.0
2007-12-01,7544788002.0
2008-01-01,7723917207.0
2008-02-01,7916550818.0
2008-03-01,7869616774.0
2008-04-01,8059707964.0
2008-05-01,8722632207.0
2008-06-01,8891805840.0
2008-07-01,9091879380.0
2008-08-01,9043312506.0
2008-09-01,8992944340.0
2008-10-01,8656808128.0
2008-11-01,8728310005.0
2008-12-01,9087552329.0
2009-01-01,8844649227.0
2009-02-01,8696666389.0
2009-03-01,8749269612.0
2009-04-01,9147131695.0
2009-05-01,9263043848.0
2009-06-01,9284854841.0
2009-07-01,9152592597.0
2009-08-01,9263574390.0
2009-09-01,9443015626.0
2009-10-01,9618010215.0
2009-11-01,9653100151.0
2009-12-01,9355427144.0
2010-01-01,9346808314.0
2010-02-01,9232941148.0
2010-03-01,9272345200.0
2010-04-01,9476490341.0
2010-05-01,9248131410.0
2010-06-01,9244840932.0
2010-07-01,9502611113.0
2010-08-01,9429901620.0
2010-09-01,9744541385.0
2010-10-01,9853301581.0
2010-11-01,9704099083.0
2010-12-01,9655846013.0
2011-01-01,9569862173.0
2011-02-01,9573095797.0
2011-03-01,9818766962.0
2011-04-01,10260551204.0
2011-05-01,10195217953.0
2011-06-01,10336449928.0
