Tarih,TP_YSSK_A2
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,1196.0
2002-02-01,1261.0
2002-03-01,1430.0
2002-04-01,1524.0
2002-05-01,1640.0
2002-06-01,1746.0
2002-07-01,1839.0
2002-08-01,1731.0
2002-09-01,1704.0
2002-10-01,1707.0
2002-11-01,1764.0
2002-12-01,1764.0
2003-01-01,1809.0
2003-02-01,1819.0
2003-03-01,1548.0
2003-04-01,1595.0
2003-05-01,1670.0
2003-06-01,1661.0
2003-07-01,1720.0
2003-08-01,1734.0
2003-09-01,1739.0
2003-10-01,1777.0
2003-11-01,1772.0
2003-12-01,1793.0
2004-01-01,1806.0
2004-02-01,1817.0
2004-03-01,1922.0
2004-04-01,1922.0
2004-05-01,1912.0
2004-06-01,1946.0
2004-07-01,1958.0
2004-08-01,1989.0
2004-09-01,2030.0
2004-10-01,2053.0
2004-11-01,2119.0
2004-12-01,2210.0
2005-01-01,2221.0
2005-02-01,2295.0
2005-03-01,2343.0
2005-04-01,2438.0
2005-05-01,2398.0
2005-06-01,2316.0
2005-07-01,2559.0
2005-08-01,2570.0
2005-09-01,2518.0
2005-10-01,2540.0
2005-11-01,2476.0
2005-12-01,2506.0
2006-01-01,2485.0
2006-02-01,2573.0
2006-03-01,2698.0
2006-04-01,2897.0
2006-05-01,3028.0
2006-06-01,2956.0
2006-07-01,2998.0
2006-08-01,3069.0
2006-09-01,3117.0
2006-10-01,3188.0
2006-11-01,3351.0
2006-12-01,3531.0
2007-01-01,3523.0
2007-02-01,3674.0
2007-03-01,3863.0
2007-04-01,3958.0
2007-05-01,3790.0
2007-06-01,3927.0
2007-07-01,3969.0
2007-08-01,4181.0
2007-09-01,4437.0
2007-10-01,4712.0
2007-11-01,4970.0
2007-12-01,5031.0
2008-01-01,5103.0
2008-02-01,5339.0
2008-03-01,5630.0
2008-04-01,5592.0
2008-05-01,6448.0
2008-06-01,6724.0
2008-07-01,6787.0
2008-08-01,6892.0
2008-09-01,6990.0
2008-10-01,7046.0
2008-11-01,7078.0
2008-12-01,7177.0
2009-01-01,7023.0
2009-02-01,7027.0
2009-03-01,6894.0
2009-04-01,6844.0
2009-05-01,6828.0
2009-06-01,6701.0
2009-07-01,6574.0
2009-08-01,6507.0
2009-09-01,6422.0
2009-10-01,6310.0
2009-11-01,6050.0
2009-12-01,6195.0
2010-01-01,6053.0
2010-02-01,5957.0
2010-03-01,5925.0
2010-04-01,5747.0
2010-05-01,5437.0
2010-06-01,5183.0
2010-07-01,5287.0
2010-08-01,5215.0
2010-09-01,5122.0
2010-10-01,5013.0
2010-11-01,4805.0
2010-12-01,4666.0
2011-01-01,4710.0
2011-02-01,4719.0
2011-03-01,4562.0
2011-04-01,4565.0
2011-05-01,3898.0
2011-06-01,3996.0
2011-07-01,3989.0
2011-08-01,4259.0
2011-09-01,4214.0
2011-10-01,4267.0
2011-11-01,4165.0
2011-12-01,3913.0
2012-01-01,3961.0
2012-02-01,3968.0
2012-03-01,4146.0
2012-04-01,4068.0
2012-05-01,4035.0
2012-06-01,3984.0
2012-07-01,3984.0
2012-08-01,4025.0
2012-09-01,4201.0
2012-10-01,4246.0
2012-11-01,4586.0
2012-12-01,4299.0
2013-01-01,4523.0
