Tarih,TP_AC2_LTD_S
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,
2007-02-01,
2007-03-01,
2007-04-01,
2007-05-01,
2007-06-01,
2007-07-01,
2007-08-01,
2007-09-01,
2007-10-01,
2007-11-01,
2007-12-01,
2008-01-01,
2008-02-01,
2008-03-01,
2008-04-01,
2008-05-01,
2008-06-01,
2008-07-01,
2008-08-01,
2008-09-01,
2008-10-01,
2008-11-01,
2008-12-01,
2009-01-01,
2009-02-01,
2009-03-01,
2009-04-01,
2009-05-01,
2009-06-01,
2009-07-01,
2009-08-01,
2009-09-01,
2009-10-01,
2009-11-01,
2009-12-01,
2010-01-01,771213700.0
2010-02-01,624875000.0
2010-03-01,747843125.0
2010-04-01,676922171.0
2010-05-01,612906750.0
2010-06-01,691422850.0
2010-07-01,621446000.0
2010-08-01,683163550.0
2010-09-01,663517200.0
2010-10-01,750898550.0
2010-11-01,553020625.0
2010-12-01,934414393.0
2011-01-01,1064303953.0
2011-02-01,901910100.0
2011-03-01,908498716.0
2011-04-01,1298610210.0
2011-05-01,713639075.0
2011-06-01,827888275.0
2011-07-01,697540600.0
2011-08-01,635880550.0
2011-09-01,746626775.0
2011-10-01,779308500.0
2011-11-01,629243050.0
2011-12-01,946796100.0
2012-01-01,1033107508.0
2012-02-01,1268785225.0
2012-03-01,691754025.0
2012-04-01,640399900.0
2012-05-01,656299325.0
2012-06-01,1935043700.0
2012-07-01,585096200.0
2012-08-01,204268457.0
2012-09-01,232909750.0
2012-10-01,271575375.0
2012-11-01,296524950.0
2012-12-01,260903725.0
2013-01-01,393511400.0
2013-02-01,364586400.0
2013-03-01,378561250.0
2013-04-01,356898700.0
2013-05-01,391841830.0
2013-06-01,417847500.0
2013-07-01,370389750.0
2013-08-01,369263650.0
2013-09-01,359655850.0
2013-10-01,423560700.0
2013-11-01,413121450.0
2013-12-01,406870600.0
2014-01-01,593928250.0
2014-02-01,460237900.0
2014-03-01,469141925.0
2014-04-01,429594750.0
2014-05-01,427795875.0
2014-06-01,524476375.0
2014-07-01,379390350.0
2014-08-01,332529175.0
2014-09-01,464876800.0
2014-10-01,386217500.0
2014-11-01,408208550.0
2014-12-01,568679000.0
2015-01-01,639952675.0
2015-02-01,526252814.0
2015-03-01,578455050.0
