Tarih,TP_TSANAYMT2021_Y19
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,24.3262545108
2005-02-01,24.9835016072
2005-03-01,24.7069296588
2005-04-01,24.8854476672
2005-05-01,24.5430260679
2005-06-01,26.361358309
2005-07-01,26.1164687883
2005-08-01,26.0088047692
2005-09-01,28.0281600635
2005-10-01,27.383468895
2005-11-01,28.1675843427
2005-12-01,28.5604144745
2006-01-01,29.4686946087
2006-02-01,30.7442769476
2006-03-01,32.0184948981
2006-04-01,32.0189112689
2006-05-01,34.1679569504
2006-06-01,33.1907440739
2006-07-01,34.3101360671
2006-08-01,35.3146284242
2006-09-01,34.4992262509
2006-10-01,35.5259143202
2006-11-01,36.2764689286
2006-12-01,37.7773918767
2007-01-01,36.7428831244
2007-02-01,36.5268599365
2007-03-01,38.2280643084
2007-04-01,37.9377864197
2007-05-01,38.9139696521
2007-06-01,38.8176463471
2007-07-01,38.5936459128
2007-08-01,40.4859374511
2007-09-01,40.2093613589
2007-10-01,40.4286851097
2007-11-01,40.9130231226
2007-12-01,40.8469038291
2008-01-01,40.8171964671
2008-02-01,40.6351086028
2008-03-01,41.534707155
2008-04-01,42.9223095809
2008-05-01,40.2748050732
2008-06-01,41.919231387
2008-07-01,42.9764231151
2008-08-01,40.0432073684
2008-09-01,41.4601418235
2008-10-01,41.0502615047
2008-11-01,39.0756899919
2008-12-01,39.3398593807
2009-01-01,39.6892283824
2009-02-01,37.370060756
2009-03-01,38.3502439444
2009-04-01,39.8491699599
2009-05-01,41.6644377814
2009-06-01,42.3800606717
2009-07-01,42.0174740918
2009-08-01,43.8260413378
2009-09-01,43.4023504868
2009-10-01,45.2576218627
2009-11-01,44.981895237
2009-12-01,45.5368944305
2010-01-01,52.0346691947
2010-02-01,52.9474963566
2010-03-01,53.814523318
2010-04-01,51.9024124179
2010-05-01,53.4165298141
2010-06-01,54.9208709343
2010-07-01,53.4032848946
2010-08-01,57.0992895647
2010-09-01,53.9799631413
2010-10-01,54.1566238544
2010-11-01,58.921554721
2010-12-01,59.9749296605
2011-01-01,62.7513892219
2011-02-01,61.6937930037
2011-03-01,57.1612799228
2011-04-01,59.2497609639
2011-05-01,60.2340601929
2011-06-01,60.4504172347
2011-07-01,62.1543498712
2011-08-01,62.2386706726
2011-09-01,61.3702281745
2011-10-01,63.5467527323
2011-11-01,62.4046108301
2011-12-01,62.3548298879
2012-01-01,61.9435050453
2012-02-01,58.294092667
2012-03-01,58.9445120413
2012-04-01,66.0033509872
2012-05-01,66.8672291545
2012-06-01,64.6704166131
2012-07-01,69.5936686716
2012-08-01,69.6537132826
2012-09-01,68.6810558934
2012-10-01,64.5788862881
