Tarih,TP_UREN_K25_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,54.72
2009-04-01,66.38
2009-07-01,52.67
2009-10-01,61.55
2010-01-01,55.72
2010-04-01,60.89
2010-07-01,48.4
2010-10-01,62.37
2011-01-01,62.97
2011-04-01,64.58
2011-07-01,53.19
2011-10-01,70.34
2012-01-01,65.29
2012-04-01,78.14
2012-07-01,63.44
2012-10-01,78.83
2013-01-01,62.57
2013-04-01,69.78
2013-07-01,57.9
2013-10-01,67.61
2014-01-01,69.05
2014-04-01,74.17
2014-07-01,65.15
2014-10-01,87.78
2015-01-01,91.13
2015-04-01,95.74
2015-07-01,72.37
2015-10-01,89.06
2016-01-01,99.75
2016-04-01,94.87
2016-07-01,70.08
2016-10-01,102.56
2017-01-01,97.29
2017-04-01,92.64
2017-07-01,73.61
2017-10-01,103.38
2018-01-01,99.89
2018-04-01,89.0
2018-07-01,74.39
2018-10-01,107.18
2019-01-01,110.07
2019-04-01,96.69
2019-07-01,86.75
2019-10-01,112.08
2020-01-01,110.05
2020-04-01,91.98
2020-07-01,88.57
2020-10-01,127.68
2021-01-01,110.58
2021-04-01,95.66
2021-07-01,77.58
2021-10-01,116.2
2022-01-01,105.38
2022-04-01,107.81
2022-07-01,82.6
2022-10-01,109.99
2023-01-01,102.35
2023-04-01,89.1
2023-07-01,97.28
2023-10-01,110.36
2024-01-01,99.7
2024-04-01,80.4
2024-07-01,77.96
2024-10-01,100.02
2025-01-01,86.3
2025-04-01,86.92
