Tarih,TP_UREN_S15_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,68.97
2009-04-01,84.01
2009-07-01,84.87
2009-10-01,65.53
2010-01-01,70.46
2010-04-01,83.09
2010-07-01,83.71
2010-10-01,65.27
2011-01-01,64.76
2011-04-01,78.42
2011-07-01,76.86
2011-10-01,61.58
2012-01-01,64.66
2012-04-01,76.64
2012-07-01,79.09
2012-10-01,63.96
2013-01-01,61.15
2013-04-01,70.2
2013-07-01,72.52
2013-10-01,65.03
2014-01-01,65.08
2014-04-01,82.48
2014-07-01,87.81
2014-10-01,71.73
2015-01-01,69.97
2015-04-01,80.31
2015-07-01,91.01
2015-10-01,70.24
2016-01-01,66.08
2016-04-01,83.7
2016-07-01,88.84
2016-10-01,68.34
2017-01-01,64.97
2017-04-01,83.98
2017-07-01,90.83
2017-10-01,71.34
2018-01-01,74.17
2018-04-01,96.35
2018-07-01,102.54
2018-10-01,75.82
2019-01-01,71.3
2019-04-01,102.27
2019-07-01,105.74
2019-10-01,79.17
2020-01-01,77.68
2020-04-01,106.78
2020-07-01,113.02
2020-10-01,85.52
2021-01-01,85.98
2021-04-01,95.36
2021-07-01,123.24
2021-10-01,95.44
2022-01-01,93.86
2022-04-01,118.49
2022-07-01,106.7
2022-10-01,89.9
2023-01-01,76.23
2023-04-01,105.36
2023-07-01,116.09
2023-10-01,81.64
2024-01-01,91.22
2024-04-01,116.06
2024-07-01,105.33
2024-10-01,82.5
2025-01-01,79.2
2025-04-01,113.43
