Tarih,TP_UREN_S23_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,63.99
2009-04-01,81.97
2009-07-01,92.97
2009-10-01,81.96
2010-01-01,60.59
2010-04-01,76.73
2010-07-01,80.45
2010-10-01,84.2
2011-01-01,69.07
2011-04-01,73.8
2011-07-01,81.53
2011-10-01,81.25
2012-01-01,74.19
2012-04-01,77.28
2012-07-01,84.25
2012-10-01,81.23
2013-01-01,65.49
2013-04-01,82.95
2013-07-01,86.19
2013-10-01,87.67
2014-01-01,70.91
2014-04-01,70.03
2014-07-01,82.77
2014-10-01,85.8
2015-01-01,77.51
2015-04-01,100.02
2015-07-01,110.21
2015-10-01,109.77
2016-01-01,87.93
2016-04-01,86.13
2016-07-01,114.02
2016-10-01,96.84
2017-01-01,99.71
2017-04-01,105.48
2017-07-01,109.66
2017-10-01,86.74
2018-01-01,71.53
2018-04-01,81.8
2018-07-01,98.56
2018-10-01,82.94
2019-01-01,85.58
2019-04-01,94.17
2019-07-01,134.9
2019-10-01,116.0
2020-01-01,106.22
2020-04-01,109.61
2020-07-01,127.94
2020-10-01,94.93
2021-01-01,80.42
2021-04-01,99.58
2021-07-01,109.92
2021-10-01,110.09
2022-01-01,97.0
2022-04-01,113.59
2022-07-01,115.56
2022-10-01,94.61
2023-01-01,86.56
2023-04-01,114.52
2023-07-01,112.34
2023-10-01,110.12
2024-01-01,94.98
2024-04-01,109.29
2024-07-01,109.02
2024-10-01,112.2
2025-01-01,104.15
2025-04-01,119.17
