Tarih,TP_UREN_S27_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,63.08
2009-04-01,75.77
2009-07-01,74.19
2009-10-01,72.24
2010-01-01,65.63
2010-04-01,77.47
2010-07-01,77.73
2010-10-01,77.26
2011-01-01,69.39
2011-04-01,77.62
2011-07-01,79.77
2011-10-01,76.99
2012-01-01,63.6
2012-04-01,79.59
2012-07-01,76.95
2012-10-01,76.31
2013-01-01,69.69
2013-04-01,79.63
2013-07-01,81.01
2013-10-01,81.83
2014-01-01,77.5
2014-04-01,78.25
2014-07-01,78.87
2014-10-01,77.71
2015-01-01,66.86
2015-04-01,79.29
2015-07-01,81.45
2015-10-01,83.41
2016-01-01,71.68
2016-04-01,82.97
2016-07-01,83.44
2016-10-01,83.5
2017-01-01,73.05
2017-04-01,85.64
2017-07-01,90.74
2017-10-01,92.58
2018-01-01,82.27
2018-04-01,87.27
2018-07-01,93.06
2018-10-01,84.31
2019-01-01,75.89
2019-04-01,83.66
2019-07-01,85.8
2019-10-01,91.81
2020-01-01,83.97
2020-04-01,114.6
2020-07-01,103.92
2020-10-01,101.8
2021-01-01,90.23
2021-04-01,101.23
2021-07-01,102.25
2021-10-01,106.31
2022-01-01,92.31
2022-04-01,104.08
2022-07-01,99.15
2022-10-01,99.87
2023-01-01,90.83
2023-04-01,100.8
2023-07-01,93.95
2023-10-01,96.31
2024-01-01,86.85
2024-04-01,95.04
2024-07-01,92.48
2024-10-01,99.52
2025-01-01,90.65
2025-04-01,104.35
