Tarih,TP_UREN_S34_2021
2000-01-01,
2000-04-01,
2000-07-01,
2000-10-01,
2001-01-01,
2001-04-01,
2001-07-01,
2001-10-01,
2002-01-01,
2002-04-01,
2002-07-01,
2002-10-01,
2003-01-01,
2003-04-01,
2003-07-01,
2003-10-01,
2004-01-01,
2004-04-01,
2004-07-01,
2004-10-01,
2005-01-01,
2005-04-01,
2005-07-01,
2005-10-01,
2006-01-01,
2006-04-01,
2006-07-01,
2006-10-01,
2007-01-01,
2007-04-01,
2007-07-01,
2007-10-01,
2008-01-01,
2008-04-01,
2008-07-01,
2008-10-01,
2009-01-01,57.8
2009-04-01,47.8
2009-07-01,36.86
2009-10-01,45.55
2010-01-01,59.13
2010-04-01,45.34
2010-07-01,47.05
2010-10-01,56.54
2011-01-01,53.88
2011-04-01,74.51
2011-07-01,63.78
2011-10-01,89.22
2012-01-01,58.32
2012-04-01,67.37
2012-07-01,54.8
2012-10-01,64.73
2013-01-01,53.75
2013-04-01,56.4
2013-07-01,54.12
2013-10-01,64.06
2014-01-01,58.06
2014-04-01,67.67
2014-07-01,78.78
2014-10-01,72.51
2015-01-01,74.63
2015-04-01,79.55
2015-07-01,79.65
2015-10-01,97.6
2016-01-01,75.05
2016-04-01,84.91
2016-07-01,97.6
2016-10-01,104.74
2017-01-01,95.74
2017-04-01,120.52
2017-07-01,84.76
2017-10-01,94.9
2018-01-01,91.02
2018-04-01,98.37
2018-07-01,126.21
2018-10-01,122.58
2019-01-01,117.64
2019-04-01,116.43
2019-07-01,114.19
2019-10-01,109.93
2020-01-01,89.98
2020-04-01,92.76
2020-07-01,88.28
2020-10-01,92.66
2021-01-01,73.94
2021-04-01,96.49
2021-07-01,104.76
2021-10-01,124.83
2022-01-01,93.13
2022-04-01,98.86
2022-07-01,89.37
2022-10-01,181.23
2023-01-01,101.7
2023-04-01,137.15
2023-07-01,130.68
2023-10-01,141.62
2024-01-01,122.55
2024-04-01,125.97
2024-07-01,98.97
2024-10-01,174.51
2025-01-01,108.22
2025-04-01,140.73
