Tarih,TP_IYAW2_S19_X
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,891.0
2007-02-01,968.0
2007-03-01,945.0
2007-04-01,1099.0
2007-05-01,1101.0
2007-06-01,1156.0
2007-07-01,1097.0
2007-08-01,1126.0
2007-09-01,1177.0
2007-10-01,1175.0
2007-11-01,1223.0
2007-12-01,1116.0
2008-01-01,1110.0
2008-02-01,1091.0
2008-03-01,1179.0
2008-04-01,1094.0
2008-05-01,1151.0
2008-06-01,1164.0
2008-07-01,1114.0
2008-08-01,1097.0
2008-09-01,1155.0
2008-10-01,1357.0
2008-11-01,1146.0
2008-12-01,1143.0
2009-01-01,1503.0
2009-02-01,1543.0
2009-03-01,1485.0
2009-04-01,1518.0
2009-05-01,1536.0
2009-06-01,1548.0
2009-07-01,1496.0
2009-08-01,1540.0
2009-09-01,1577.0
2009-10-01,1510.0
2009-11-01,1576.0
2009-12-01,1555.0
2010-01-01,1529.0
2010-02-01,1552.0
2010-03-01,1516.0
2010-04-01,1546.0
2010-05-01,1506.0
2010-06-01,1577.0
2010-07-01,1816.0
2010-08-01,1796.0
2010-09-01,1812.0
2010-10-01,1773.0
2010-11-01,1675.0
2010-12-01,1864.0
2011-01-01,1746.0
2011-02-01,1814.0
2011-03-01,1859.0
2011-04-01,1786.0
2011-05-01,1735.0
2011-06-01,1792.0
2011-07-01,1958.0
2011-08-01,2043.0
2011-09-01,2113.0
2011-10-01,2010.0
2011-11-01,2051.0
2011-12-01,2031.0
2012-01-01,1977.0
2012-02-01,2071.0
2012-03-01,2103.0
2012-04-01,2001.0
2012-05-01,2063.0
2012-06-01,2071.0
2012-07-01,1970.0
2012-08-01,2005.0
2012-09-01,1991.0
2012-10-01,1985.0
2012-11-01,1993.0
2012-12-01,1947.0
2013-01-01,1845.0
2013-02-01,1961.0
2013-03-01,1962.0
2013-04-01,1940.0
2013-05-01,1972.0
2013-06-01,1997.0
2013-07-01,2119.0
2013-08-01,2160.0
2013-09-01,2150.0
2013-10-01,2106.0
2013-11-01,2140.0
2013-12-01,2190.0
2014-01-01,2112.0
2014-02-01,2127.0
2014-03-01,2157.0
2014-04-01,2063.0
2014-05-01,2136.0
2014-06-01,2114.0
2014-07-01,2110.0
2014-08-01,2105.0
2014-09-01,2099.0
