Tarih,TP_IYABGS3S_S11_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,28.62579
2007-02-01,27.82524
2007-03-01,23.91302
2007-04-01,14.80774
2007-05-01,12.27388
2007-06-01,20.52011
2007-07-01,16.00636
2007-08-01,17.18985
2007-09-01,17.92661
2007-10-01,21.37246
2007-11-01,24.04677
2007-12-01,28.01643
2008-01-01,33.17262
2008-02-01,39.15798
2008-03-01,22.14033
2008-04-01,27.79294
2008-05-01,17.35225
2008-06-01,23.59669
2008-07-01,19.87643
2008-08-01,23.4435
2008-09-01,34.57459
2008-10-01,46.79782
2008-11-01,61.9634
2008-12-01,73.80504
2009-01-01,73.56064
2009-02-01,72.26333
2009-03-01,64.64593
2009-04-01,41.86771
2009-05-01,36.77587
2009-06-01,27.36895
2009-07-01,24.42822
2009-08-01,25.39592
2009-09-01,22.13858
2009-10-01,21.5477
2009-11-01,31.69841
2009-12-01,37.71755
2010-01-01,29.29144
2010-02-01,24.13131
2010-03-01,23.80145
2010-04-01,20.4828
2010-05-01,21.94726
2010-06-01,17.43185
2010-07-01,20.71137
2010-08-01,25.80148
2010-09-01,22.9516
2010-10-01,23.37069
2010-11-01,20.83539
2010-12-01,20.76725
2011-01-01,16.40941
2011-02-01,24.22707
2011-03-01,28.55021
2011-04-01,18.29745
2011-05-01,17.43685
2011-06-01,15.2377
2011-07-01,11.89586
2011-08-01,22.99243
2011-09-01,15.59509
2011-10-01,19.22545
2011-11-01,17.11865
2011-12-01,27.69472
2012-01-01,22.50719
2012-02-01,23.16278
2012-03-01,24.40909
2012-04-01,16.44901
2012-05-01,17.76472
2012-06-01,18.80513
2012-07-01,20.42619
2012-08-01,25.01748
2012-09-01,27.15559
2012-10-01,19.17705
2012-11-01,24.12019
2012-12-01,21.68086
2013-01-01,21.94854
2013-02-01,21.92469
2013-03-01,26.35853
2013-04-01,18.40595
2013-05-01,11.55587
2013-06-01,9.25746
2013-07-01,13.61841
2013-08-01,13.61166
2013-09-01,18.79828
2013-10-01,16.51282
2013-11-01,16.04434
2013-12-01,16.35655
2014-01-01,22.26036
2014-02-01,17.94118
2014-03-01,20.52295
2014-04-01,14.21408
2014-05-01,16.65194
2014-06-01,17.71508
2014-07-01,16.71046
2014-08-01,21.04036
2014-09-01,21.10494
