Tarih,TP_IYABGS3S_S04_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,19.73839
2007-02-01,8.94117
2007-03-01,7.56736
2007-04-01,8.78335
2007-05-01,10.40574
2007-06-01,12.23509
2007-07-01,11.41077
2007-08-01,10.41404
2007-09-01,13.75876
2007-10-01,10.70861
2007-11-01,4.47264
2007-12-01,11.51835
2008-01-01,6.29186
2008-02-01,9.16637
2008-03-01,13.32536
2008-04-01,8.60763
2008-05-01,12.14984
2008-06-01,13.755
2008-07-01,12.38882
2008-08-01,9.4821
2008-09-01,9.14202
2008-10-01,16.03472
2008-11-01,23.26086
2008-12-01,25.22682
2009-01-01,22.6792
2009-02-01,27.31481
2009-03-01,23.85744
2009-04-01,31.19752
2009-05-01,29.41895
2009-06-01,27.4759
2009-07-01,26.98687
2009-08-01,24.15107
2009-09-01,21.14197
2009-10-01,22.16151
2009-11-01,23.06815
2009-12-01,16.34496
2010-01-01,21.1284
2010-02-01,16.76573
2010-03-01,22.2537
2010-04-01,11.38109
2010-05-01,9.25003
2010-06-01,12.13681
2010-07-01,4.80136
2010-08-01,7.37117
2010-09-01,9.72128
2010-10-01,7.77085
2010-11-01,5.99685
2010-12-01,9.23316
2011-01-01,5.81693
2011-02-01,7.90152
2011-03-01,8.4216
2011-04-01,7.84686
2011-05-01,9.28842
2011-06-01,4.80249
2011-07-01,7.91116
2011-08-01,8.74314
2011-09-01,6.27572
2011-10-01,12.88771
2011-11-01,11.00539
2011-12-01,6.30238
2012-01-01,6.85292
2012-02-01,7.57876
2012-03-01,6.11266
2012-04-01,10.41388
2012-05-01,9.63982
2012-06-01,6.16627
2012-07-01,7.22232
2012-08-01,6.75075
2012-09-01,6.86052
2012-10-01,10.16463
2012-11-01,6.37805
2012-12-01,7.28378
2013-01-01,6.88691
2013-02-01,5.08137
2013-03-01,7.75443
2013-04-01,6.40989
2013-05-01,6.90915
2013-06-01,6.54536
2013-07-01,5.57005
2013-08-01,5.23453
2013-09-01,6.9804
2013-10-01,4.63336
2013-11-01,4.69781
2013-12-01,5.77121
2014-01-01,6.39805
2014-02-01,6.08481
2014-03-01,7.19131
2014-04-01,7.10981
2014-05-01,8.06405
2014-06-01,9.23039
2014-07-01,7.46842
2014-08-01,7.92149
2014-09-01,12.36304
