Tarih,TP_IYABGS3S_S05_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,16.38215
2007-02-01,7.35174
2007-03-01,7.1369
2007-04-01,4.73885
2007-05-01,9.65874
2007-06-01,10.46858
2007-07-01,13.53599
2007-08-01,7.39545
2007-09-01,19.56298
2007-10-01,21.47161
2007-11-01,22.03199
2007-12-01,16.43533
2008-01-01,11.77283
2008-02-01,10.30525
2008-03-01,8.28462
2008-04-01,9.47812
2008-05-01,11.8352
2008-06-01,16.88146
2008-07-01,14.6481
2008-08-01,20.79364
2008-09-01,25.4027
2008-10-01,46.52763
2008-11-01,60.00314
2008-12-01,50.9435
2009-01-01,43.5612
2009-02-01,29.56025
2009-03-01,33.11226
2009-04-01,18.40159
2009-05-01,20.558
2009-06-01,22.40635
2009-07-01,18.93079
2009-08-01,17.5315
2009-09-01,19.3626
2009-10-01,28.11925
2009-11-01,27.93283
2009-12-01,24.45417
2010-01-01,16.92749
2010-02-01,8.69383
2010-03-01,5.91596
2010-04-01,11.38648
2010-05-01,22.28451
2010-06-01,15.48568
2010-07-01,14.31019
2010-08-01,13.17713
2010-09-01,16.65613
2010-10-01,12.68217
2010-11-01,15.32612
2010-12-01,23.17587
2011-01-01,13.17564
2011-02-01,14.94361
2011-03-01,10.8975
2011-04-01,10.14417
2011-05-01,14.04495
2011-06-01,15.74294
2011-07-01,11.24158
2011-08-01,9.97669
2011-09-01,8.41723
2011-10-01,17.78019
2011-11-01,17.75012
2011-12-01,17.34492
2012-01-01,14.63972
2012-02-01,11.27064
2012-03-01,9.44764
2012-04-01,10.0265
2012-05-01,10.50057
2012-06-01,19.77597
2012-07-01,18.10897
2012-08-01,12.07238
2012-09-01,13.61858
2012-10-01,18.36886
2012-11-01,21.16533
2012-12-01,20.80665
2013-01-01,16.66323
2013-02-01,10.70125
2013-03-01,6.57876
2013-04-01,10.87389
2013-05-01,12.37836
2013-06-01,12.4442
2013-07-01,12.90933
2013-08-01,6.90328
2013-09-01,7.74922
2013-10-01,11.87144
2013-11-01,16.00939
2013-12-01,20.0736
2014-01-01,16.9253
2014-02-01,11.29046
2014-03-01,8.52569
2014-04-01,11.20324
2014-05-01,9.58749
2014-06-01,12.77305
2014-07-01,10.20618
2014-08-01,9.31939
2014-09-01,7.89953
