Tarih,TP_IYABGS3S_S06_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,59.12994
2007-02-01,63.53164
2007-03-01,63.0118
2007-04-01,59.32581
2007-05-01,68.54306
2007-06-01,75.85369
2007-07-01,68.89226
2007-08-01,71.54683
2007-09-01,65.01467
2007-10-01,67.01045
2007-11-01,58.90818
2007-12-01,55.89261
2008-01-01,54.02714
2008-02-01,61.38971
2008-03-01,55.44716
2008-04-01,52.65299
2008-05-01,50.01576
2008-06-01,46.77119
2008-07-01,52.52674
2008-08-01,61.83961
2008-09-01,55.47363
2008-10-01,61.24518
2008-11-01,51.75378
2008-12-01,53.82742
2009-01-01,56.39322
2009-02-01,69.97412
2009-03-01,70.05466
2009-04-01,63.02675
2009-05-01,57.16295
2009-06-01,64.03004
2009-07-01,65.06161
2009-08-01,68.78659
2009-09-01,66.58131
2009-10-01,69.81187
2009-11-01,73.03554
2009-12-01,57.48539
2010-01-01,57.17856
2010-02-01,59.3375
2010-03-01,54.23483
2010-04-01,60.37869
2010-05-01,68.69712
2010-06-01,72.26518
2010-07-01,69.15723
2010-08-01,68.00848
2010-09-01,76.5679
2010-10-01,74.94328
2010-11-01,79.24113
2010-12-01,72.09244
2011-01-01,64.36333
2011-02-01,68.15279
2011-03-01,68.42526
2011-04-01,68.89244
2011-05-01,65.77544
2011-06-01,66.74869
2011-07-01,67.04503
2011-08-01,67.20223
2011-09-01,63.65189
2011-10-01,58.9542
2011-11-01,65.10312
2011-12-01,71.19306
2012-01-01,67.22763
2012-02-01,72.24046
2012-03-01,73.47313
2012-04-01,64.94057
2012-05-01,67.67214
2012-06-01,75.01357
2012-07-01,76.8567
2012-08-01,74.34653
2012-09-01,68.89617
2012-10-01,60.88293
2012-11-01,69.01512
2012-12-01,66.43708
2013-01-01,65.29601
2013-02-01,69.04046
2013-03-01,71.38413
2013-04-01,78.94251
2013-05-01,70.64749
2013-06-01,75.28805
2013-07-01,67.99748
2013-08-01,68.69674
2013-09-01,66.55815
2013-10-01,70.97454
2013-11-01,72.85156
2013-12-01,67.04003
2014-01-01,62.69382
2014-02-01,63.9832
2014-03-01,62.0611
2014-04-01,73.61827
2014-05-01,75.30904
2014-06-01,72.30183
2014-07-01,79.31979
2014-08-01,74.50625
2014-09-01,70.41836
