Tarih,TP_IYABGS3S_S07_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,23.66852
2007-02-01,21.64603
2007-03-01,26.02814
2007-04-01,30.31912
2007-05-01,24.29703
2007-06-01,15.32495
2007-07-01,21.6415
2007-08-01,19.05495
2007-09-01,24.04417
2007-10-01,22.38886
2007-11-01,21.97703
2007-12-01,21.4932
2008-01-01,27.9785
2008-02-01,24.03681
2008-03-01,20.39895
2008-04-01,21.52856
2008-05-01,21.83341
2008-06-01,12.78166
2008-07-01,18.10003
2008-08-01,15.83885
2008-09-01,10.74155
2008-10-01,8.32016
2008-11-01,3.23643
2008-12-01,0.94593
2009-01-01,4.98526
2009-02-01,3.71098
2009-03-01,7.34727
2009-04-01,9.38312
2009-05-01,12.27345
2009-06-01,12.26757
2009-07-01,19.53491
2009-08-01,13.39495
2009-09-01,10.95855
2009-10-01,7.62621
2009-11-01,4.78148
2009-12-01,7.76411
2010-01-01,14.53363
2010-02-01,18.0866
2010-03-01,20.43115
2010-04-01,21.28546
2010-05-01,20.81563
2010-06-01,14.85253
2010-07-01,18.27916
2010-08-01,16.6916
2010-09-01,14.97
2010-10-01,14.55435
2010-11-01,15.04054
2010-12-01,13.22146
2011-01-01,18.85085
2011-02-01,17.5307
2011-03-01,18.99379
2011-04-01,18.30328
2011-05-01,17.83131
2011-06-01,17.94389
2011-07-01,19.9382
2011-08-01,16.43862
2011-09-01,20.91311
2011-10-01,11.38577
2011-11-01,10.02159
2011-12-01,12.03491
2012-01-01,15.41941
2012-02-01,13.25542
2012-03-01,16.14864
2012-04-01,20.64864
2012-05-01,17.00369
2012-06-01,15.32194
2012-07-01,14.90643
2012-08-01,18.35054
2012-09-01,17.34679
2012-10-01,15.75187
2012-11-01,12.93174
2012-12-01,14.9769
2013-01-01,13.94026
2013-02-01,16.85235
2013-03-01,14.46982
2013-04-01,16.03709
2013-05-01,16.68493
2013-06-01,18.20776
2013-07-01,20.26298
2013-08-01,19.3796
2013-09-01,16.58262
2013-10-01,15.79485
2013-11-01,13.63412
2013-12-01,12.90002
2014-01-01,13.17503
2014-02-01,13.03741
2014-03-01,16.79794
2014-04-01,14.00681
2014-05-01,13.82971
2014-06-01,16.54226
2014-07-01,15.79374
2014-08-01,19.05582
2014-09-01,17.79191
