Tarih,TP_IYABGS3S_S07_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,5.5893
2007-02-01,5.45552
2007-03-01,6.42956
2007-04-01,3.83519
2007-05-01,4.1816
2007-06-01,7.55004
2007-07-01,8.1354
2007-08-01,4.55491
2007-09-01,7.77358
2007-10-01,9.96172
2007-11-01,14.52319
2007-12-01,13.37103
2008-01-01,10.56869
2008-02-01,7.22999
2008-03-01,10.58898
2008-04-01,6.45459
2008-05-01,8.00135
2008-06-01,12.30918
2008-07-01,11.74848
2008-08-01,13.58059
2008-09-01,15.88331
2008-10-01,27.77959
2008-11-01,45.45113
2008-12-01,43.60072
2009-01-01,41.92522
2009-02-01,38.98383
2009-03-01,36.64383
2009-04-01,19.16674
2009-05-01,13.29965
2009-06-01,10.34042
2009-07-01,9.90564
2009-08-01,13.23562
2009-09-01,12.29425
2009-10-01,16.49909
2009-11-01,15.41447
2009-12-01,15.96022
2010-01-01,9.74438
2010-02-01,6.38058
2010-03-01,6.81484
2010-04-01,6.20809
2010-05-01,9.12661
2010-06-01,6.72158
2010-07-01,5.25111
2010-08-01,10.54357
2010-09-01,5.24748
2010-10-01,7.56863
2010-11-01,8.24869
2010-12-01,13.15281
2011-01-01,9.54604
2011-02-01,9.73037
2011-03-01,8.09516
2011-04-01,7.44213
2011-05-01,5.68604
2011-06-01,6.96265
2011-07-01,4.72805
2011-08-01,5.56135
2011-09-01,4.07213
2011-10-01,11.28348
2011-11-01,10.77173
2011-12-01,12.93047
2012-01-01,9.90354
2012-02-01,6.81599
2012-03-01,5.89866
2012-04-01,6.09815
2012-05-01,7.30977
2012-06-01,8.94906
2012-07-01,7.21954
2012-08-01,6.09204
2012-09-01,10.18917
2012-10-01,9.08385
2012-11-01,9.86547
2012-12-01,12.52058
2013-01-01,10.2902
2013-02-01,7.28572
2013-03-01,5.09387
2013-04-01,5.74285
2013-05-01,5.83922
2013-06-01,4.39707
2013-07-01,5.36904
2013-08-01,3.06937
2013-09-01,3.71002
2013-10-01,4.57389
2013-11-01,9.23642
2013-12-01,9.99073
2014-01-01,11.36876
2014-02-01,8.0223
2014-03-01,6.17699
2014-04-01,6.58309
2014-05-01,7.34849
2014-06-01,3.52867
2014-07-01,4.61239
2014-08-01,6.21922
2014-09-01,8.52911
