Tarih,TP_IYABGS2S_S02_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,70.10551
2007-02-01,69.71021
2007-03-01,65.85914
2007-04-01,71.35467
2007-05-01,74.95423
2007-06-01,70.22184
2007-07-01,71.44941
2007-08-01,72.06383
2007-09-01,71.56887
2007-10-01,71.66347
2007-11-01,69.72512
2007-12-01,70.02065
2008-01-01,74.18105
2008-02-01,68.8642
2008-03-01,62.98733
2008-04-01,64.92172
2008-05-01,64.92735
2008-06-01,68.47369
2008-07-01,64.17869
2008-08-01,63.76006
2008-09-01,59.7825
2008-10-01,47.81833
2008-11-01,43.55407
2008-12-01,37.32869
2009-01-01,28.61163
2009-02-01,35.12799
2009-03-01,36.41713
2009-04-01,40.08935
2009-05-01,43.16683
2009-06-01,46.02823
2009-07-01,49.98005
2009-08-01,52.71939
2009-09-01,52.75109
2009-10-01,60.2129
2009-11-01,62.53042
2009-12-01,63.01048
2010-01-01,64.57373
2010-02-01,68.47018
2010-03-01,63.82795
2010-04-01,69.06161
2010-05-01,70.41363
2010-06-01,70.97465
2010-07-01,71.16132
2010-08-01,70.3354
2010-09-01,69.90769
2010-10-01,67.45483
2010-11-01,76.77095
2010-12-01,74.94306
2011-01-01,79.03474
2011-02-01,77.75517
2011-03-01,76.6078
2011-04-01,76.86681
2011-05-01,74.45954
2011-06-01,73.96866
2011-07-01,75.84492
2011-08-01,71.97262
2011-09-01,76.04295
2011-10-01,75.75517
2011-11-01,77.42589
2011-12-01,76.93828
2012-01-01,76.9456
2012-02-01,75.2728
2012-03-01,75.07361
2012-04-01,75.97194
2012-05-01,73.83495
2012-06-01,77.88396
2012-07-01,75.51631
2012-08-01,73.10787
2012-09-01,72.93069
2012-10-01,73.81818
2012-11-01,76.3907
2012-12-01,75.22983
2013-01-01,75.48326
2013-02-01,79.21289
2013-03-01,77.43281
2013-04-01,79.87143
2013-05-01,79.20642
2013-06-01,81.01911
2013-07-01,79.03934
2013-08-01,78.7815
2013-09-01,80.7152
2013-10-01,80.43493
2013-11-01,81.32322
2013-12-01,76.90945
2014-01-01,75.98447
2014-02-01,73.73886
2014-03-01,77.33041
2014-04-01,78.34752
2014-05-01,77.17226
2014-06-01,76.76434
2014-07-01,72.76582
2014-08-01,74.13357
2014-09-01,72.66271
