Tarih,TP_IYABGS2S_S20_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,17.21005
2007-02-01,15.92202
2007-03-01,24.30454
2007-04-01,29.01098
2007-05-01,32.06994
2007-06-01,32.42276
2007-07-01,26.82633
2007-08-01,29.09981
2007-09-01,34.00165
2007-10-01,25.2043
2007-11-01,24.15774
2007-12-01,20.68937
2008-01-01,21.81723
2008-02-01,16.1389
2008-03-01,20.64504
2008-04-01,29.16444
2008-05-01,38.30733
2008-06-01,25.61361
2008-07-01,22.27998
2008-08-01,23.21014
2008-09-01,23.20841
2008-10-01,12.2305
2008-11-01,9.95331
2008-12-01,7.42068
2009-01-01,8.01852
2009-02-01,6.51356
2009-03-01,7.10195
2009-04-01,11.07952
2009-05-01,19.74801
2009-06-01,27.83918
2009-07-01,27.2065
2009-08-01,27.61713
2009-09-01,25.0479
2009-10-01,20.00758
2009-11-01,24.80501
2009-12-01,25.97735
2010-01-01,21.68347
2010-02-01,22.0403
2010-03-01,27.64652
2010-04-01,39.97923
2010-05-01,39.70331
2010-06-01,35.5054
2010-07-01,32.2035
2010-08-01,29.59956
2010-09-01,28.92142
2010-10-01,28.31091
2010-11-01,34.07126
2010-12-01,31.45296
2011-01-01,26.18695
2011-02-01,27.09925
2011-03-01,29.8389
2011-04-01,35.58417
2011-05-01,33.79511
2011-06-01,34.46941
2011-07-01,34.26458
2011-08-01,32.21306
2011-09-01,25.96992
2011-10-01,21.15243
2011-11-01,25.3375
2011-12-01,23.25469
2012-01-01,20.64944
2012-02-01,19.76651
2012-03-01,18.98497
2012-04-01,28.48709
2012-05-01,28.2552
2012-06-01,29.35045
2012-07-01,24.78099
2012-08-01,27.75068
2012-09-01,21.72757
2012-10-01,21.56948
2012-11-01,20.03794
2012-12-01,21.14034
2013-01-01,22.01546
2013-02-01,20.42944
2013-03-01,19.34117
2013-04-01,28.13775
2013-05-01,29.44619
2013-06-01,31.94159
2013-07-01,28.64831
2013-08-01,31.90388
2013-09-01,24.81488
2013-10-01,26.22886
2013-11-01,20.67275
2013-12-01,23.29054
2014-01-01,18.16156
2014-02-01,20.96717
2014-03-01,22.80272
2014-04-01,24.68536
2014-05-01,27.16699
2014-06-01,25.28781
2014-07-01,22.10761
2014-08-01,18.10171
2014-09-01,23.10958
