Tarih,TP_IYABGS2S_S22_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,11.43353
2007-02-01,5.94132
2007-03-01,5.82135
2007-04-01,5.52769
2007-05-01,6.86381
2007-06-01,8.64457
2007-07-01,5.1273
2007-08-01,8.06137
2007-09-01,5.84744
2007-10-01,15.17479
2007-11-01,9.54078
2007-12-01,15.73794
2008-01-01,6.51784
2008-02-01,8.98165
2008-03-01,6.08635
2008-04-01,7.54569
2008-05-01,8.74344
2008-06-01,8.40362
2008-07-01,8.35879
2008-08-01,15.13472
2008-09-01,18.63515
2008-10-01,22.69784
2008-11-01,26.06557
2008-12-01,28.52581
2009-01-01,26.92505
2009-02-01,20.81546
2009-03-01,20.66069
2009-04-01,17.24749
2009-05-01,13.78941
2009-06-01,14.00631
2009-07-01,9.42922
2009-08-01,7.70305
2009-09-01,12.97461
2009-10-01,11.44167
2009-11-01,15.01938
2009-12-01,9.47145
2010-01-01,8.64594
2010-02-01,5.91954
2010-03-01,6.21053
2010-04-01,7.85522
2010-05-01,5.57034
2010-06-01,9.06463
2010-07-01,7.99198
2010-08-01,6.01081
2010-09-01,5.76795
2010-10-01,7.33788
2010-11-01,6.36709
2010-12-01,5.09245
2011-01-01,3.3339
2011-02-01,3.96436
2011-03-01,4.20021
2011-04-01,7.85472
2011-05-01,10.38745
2011-06-01,7.13535
2011-07-01,10.22711
2011-08-01,8.16988
2011-09-01,8.18659
2011-10-01,9.79916
2011-11-01,11.10419
2011-12-01,12.10471
2012-01-01,7.82968
2012-02-01,6.88615
2012-03-01,5.59502
2012-04-01,5.17736
2012-05-01,7.22372
2012-06-01,12.16412
2012-07-01,8.24238
2012-08-01,6.22338
2012-09-01,5.09465
2012-10-01,6.6544
2012-11-01,7.8165
2012-12-01,8.10312
2013-01-01,6.51404
2013-02-01,3.79881
2013-03-01,5.63116
2013-04-01,6.33597
2013-05-01,5.53745
2013-06-01,6.25784
2013-07-01,8.29874
2013-08-01,6.32204
2013-09-01,5.48272
2013-10-01,7.01838
2013-11-01,6.19754
2013-12-01,5.31359
2014-01-01,4.98178
2014-02-01,5.35344
2014-03-01,6.23695
2014-04-01,4.69446
2014-05-01,4.43387
2014-06-01,5.5303
2014-07-01,5.97058
2014-08-01,4.51798
2014-09-01,4.42627
