Tarih,TP_IYABGS2S_S28_X
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,499.0
2007-02-01,526.0
2007-03-01,520.0
2007-04-01,615.0
2007-05-01,596.0
2007-06-01,611.0
2007-07-01,575.0
2007-08-01,586.0
2007-09-01,621.0
2007-10-01,628.0
2007-11-01,657.0
2007-12-01,576.0
2008-01-01,590.0
2008-02-01,579.0
2008-03-01,628.0
2008-04-01,546.0
2008-05-01,582.0
2008-06-01,573.0
2008-07-01,549.0
2008-08-01,554.0
2008-09-01,584.0
2008-10-01,596.0
2008-11-01,585.0
2008-12-01,569.0
2009-01-01,850.0
2009-02-01,866.0
2009-03-01,904.0
2009-04-01,918.0
2009-05-01,914.0
2009-06-01,930.0
2009-07-01,903.0
2009-08-01,929.0
2009-09-01,936.0
2009-10-01,901.0
2009-11-01,950.0
2009-12-01,931.0
2010-01-01,906.0
2010-02-01,921.0
2010-03-01,902.0
2010-04-01,947.0
2010-05-01,927.0
2010-06-01,961.0
2010-07-01,1190.0
2010-08-01,1153.0
2010-09-01,1160.0
2010-10-01,1149.0
2010-11-01,1063.0
2010-12-01,1200.0
2011-01-01,1114.0
2011-02-01,1156.0
2011-03-01,1175.0
2011-04-01,1113.0
2011-05-01,1054.0
2011-06-01,1101.0
2011-07-01,1271.0
2011-08-01,1307.0
2011-09-01,1372.0
2011-10-01,1299.0
2011-11-01,1313.0
2011-12-01,1290.0
2012-01-01,1277.0
2012-02-01,1331.0
2012-03-01,1347.0
2012-04-01,1260.0
2012-05-01,1302.0
2012-06-01,1291.0
2012-07-01,1228.0
2012-08-01,1249.0
2012-09-01,1222.0
2012-10-01,1231.0
2012-11-01,1236.0
2012-12-01,1201.0
2013-01-01,1140.0
2013-02-01,1204.0
2013-03-01,1184.0
2013-04-01,1162.0
2013-05-01,1151.0
2013-06-01,1173.0
2013-07-01,1292.0
2013-08-01,1307.0
2013-09-01,1297.0
2013-10-01,1301.0
2013-11-01,1299.0
2013-12-01,1326.0
2014-01-01,1273.0
2014-02-01,1282.0
2014-03-01,1307.0
2014-04-01,1293.0
2014-05-01,1297.0
2014-06-01,1287.0
2014-07-01,1311.0
2014-08-01,1283.0
2014-09-01,1284.0
2014-10-01,1278.0
2014-11-01,1245.0
2014-12-01,1247.0
