Tarih,TP_IYABGS2S_S03_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,23.79087
2007-02-01,23.21395
2007-03-01,27.54202
2007-04-01,26.87906
2007-05-01,25.04665
2007-06-01,19.95804
2007-07-01,20.65395
2007-08-01,22.0731
2007-09-01,22.8948
2007-10-01,29.17723
2007-11-01,23.43821
2007-12-01,28.4608
2008-01-01,21.19401
2008-02-01,27.28668
2008-03-01,21.72915
2008-04-01,23.76077
2008-05-01,26.04834
2008-06-01,25.61132
2008-07-01,26.9809
2008-08-01,32.35149
2008-09-01,34.92672
2008-10-01,48.58096
2008-11-01,52.66358
2008-12-01,57.25764
2009-01-01,62.30508
2009-02-01,62.15158
2009-03-01,61.0486
2009-04-01,55.66318
2009-05-01,55.58693
2009-06-01,54.09551
2009-07-01,54.54724
2009-08-01,50.80204
2009-09-01,47.29986
2009-10-01,47.87248
2009-11-01,42.73639
2009-12-01,40.96686
2010-01-01,41.06485
2010-02-01,31.84753
2010-03-01,34.42711
2010-04-01,30.46949
2010-05-01,31.6017
2010-06-01,30.81306
2010-07-01,23.47241
2010-08-01,29.39945
2010-09-01,27.09552
2010-10-01,28.21445
2010-11-01,25.54411
2010-12-01,23.08492
2011-01-01,19.51557
2011-02-01,22.58553
2011-03-01,22.88105
2011-04-01,20.94
2011-05-01,23.10507
2011-06-01,23.16441
2011-07-01,23.99832
2011-08-01,25.51321
2011-09-01,21.14523
2011-10-01,22.69924
2011-11-01,21.28004
2011-12-01,22.71049
2012-01-01,19.67294
2012-02-01,20.0597
2012-03-01,20.9758
2012-04-01,19.70663
2012-05-01,17.99687
2012-06-01,18.38307
2012-07-01,20.89945
2012-08-01,19.35049
2012-09-01,22.25594
2012-10-01,22.76222
2012-11-01,22.13095
2012-12-01,19.31424
2013-01-01,22.8429
2013-02-01,18.26519
2013-03-01,19.0471
2013-04-01,18.60711
2013-05-01,16.6796
2013-06-01,15.10758
2013-07-01,19.16009
2013-08-01,20.57934
2013-09-01,15.80039
2013-10-01,17.65383
2013-11-01,18.64177
2013-12-01,19.58178
2014-01-01,21.39824
2014-02-01,18.33486
2014-03-01,17.86969
2014-04-01,21.11581
2014-05-01,17.78006
2014-06-01,22.69374
2014-07-01,25.17494
2014-08-01,23.9634
2014-09-01,23.02583
