Tarih,TP_IYABGS4S_S12_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,39.7344
2007-02-01,41.00606
2007-03-01,43.70156
2007-04-01,49.29963
2007-05-01,32.30461
2007-06-01,29.96765
2007-07-01,37.30886
2007-08-01,40.05513
2007-09-01,32.09369
2007-10-01,45.75889
2007-11-01,40.27546
2007-12-01,28.18398
2008-01-01,39.10711
2008-02-01,53.32902
2008-03-01,33.36684
2008-04-01,47.787
2008-05-01,35.9173
2008-06-01,28.83503
2008-07-01,29.11241
2008-08-01,25.318
2008-09-01,21.27656
2008-10-01,16.55717
2008-11-01,9.76901
2008-12-01,8.16996
2009-01-01,14.36454
2009-02-01,21.26734
2009-03-01,36.92564
2009-04-01,32.12394
2009-05-01,42.83762
2009-06-01,43.86527
2009-07-01,20.86136
2009-08-01,25.68406
2009-09-01,29.29288
2009-10-01,19.21363
2009-11-01,20.01091
2009-12-01,23.32773
2010-01-01,37.67509
2010-02-01,51.42859
2010-03-01,48.54144
2010-04-01,47.52946
2010-05-01,39.88426
2010-06-01,32.97322
2010-07-01,36.20781
2010-08-01,35.21432
2010-09-01,38.80454
2010-10-01,28.76838
2010-11-01,21.49384
2010-12-01,26.88615
2011-01-01,30.00515
2011-02-01,31.26072
2011-03-01,46.78928
2011-04-01,50.08422
2011-05-01,44.65769
2011-06-01,42.83754
2011-07-01,20.58537
2011-08-01,26.46864
2011-09-01,33.86581
2011-10-01,26.85298
2011-11-01,29.71069
2011-12-01,25.73849
2012-01-01,30.35173
2012-02-01,37.69813
2012-03-01,50.33236
2012-04-01,49.51232
2012-05-01,52.16885
2012-06-01,45.54114
2012-07-01,37.13493
2012-08-01,27.27161
2012-09-01,27.92075
2012-10-01,30.83013
2012-11-01,28.65309
2012-12-01,27.1881
2013-01-01,24.20295
2013-02-01,33.36945
2013-03-01,42.69906
2013-04-01,44.96901
2013-05-01,48.00322
2013-06-01,46.16515
2013-07-01,37.07285
2013-08-01,24.90583
2013-09-01,30.64968
2013-10-01,26.96089
2013-11-01,24.09377
2013-12-01,22.21722
2014-01-01,23.86844
2014-02-01,27.87888
2014-03-01,50.59057
2014-04-01,53.17149
2014-05-01,52.69828
2014-06-01,44.22595
2014-07-01,37.89826
2014-08-01,24.13952
2014-09-01,40.49418
