Tarih,TP_IYABGS4S_S12_C
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,12.27544
2007-02-01,13.43551
2007-03-01,21.46733
2007-04-01,7.79465
2007-05-01,28.46808
2007-06-01,23.1822
2007-07-01,10.68568
2007-08-01,29.70081
2007-09-01,10.39277
2007-10-01,9.61922
2007-11-01,13.59868
2007-12-01,14.4236
2008-01-01,12.79582
2008-02-01,4.29138
2008-03-01,9.15125
2008-04-01,17.16178
2008-05-01,10.87856
2008-06-01,16.17154
2008-07-01,31.44903
2008-08-01,22.6444
2008-09-01,22.20009
2008-10-01,41.92547
2008-11-01,55.30034
2008-12-01,37.08207
2009-01-01,33.0489
2009-02-01,33.01522
2009-03-01,16.54148
2009-04-01,12.25312
2009-05-01,10.92115
2009-06-01,15.31704
2009-07-01,15.80888
2009-08-01,29.04646
2009-09-01,24.02605
2009-10-01,34.34256
2009-11-01,18.52491
2009-12-01,32.39645
2010-01-01,7.5156
2010-02-01,6.75861
2010-03-01,8.98196
2010-04-01,5.70295
2010-05-01,10.19919
2010-06-01,14.47043
2010-07-01,14.1748
2010-08-01,14.52163
2010-09-01,20.82053
2010-10-01,18.41181
2010-11-01,22.53638
2010-12-01,22.64741
2011-01-01,3.97896
2011-02-01,14.47114
2011-03-01,7.15266
2011-04-01,11.93792
2011-05-01,10.72311
2011-06-01,13.6693
2011-07-01,11.09325
2011-08-01,14.95995
2011-09-01,12.80029
2011-10-01,30.79309
2011-11-01,25.43513
2011-12-01,27.97661
2012-01-01,19.84333
2012-02-01,8.99754
2012-03-01,2.3767
2012-04-01,8.1577
2012-05-01,8.64683
2012-06-01,16.10594
2012-07-01,11.07903
2012-08-01,16.29773
2012-09-01,8.39313
2012-10-01,26.69394
2012-11-01,24.80633
2012-12-01,25.70671
2013-01-01,10.44495
2013-02-01,18.35854
2013-03-01,4.7795
2013-04-01,8.84148
2013-05-01,12.93856
2013-06-01,12.19747
2013-07-01,12.95855
2013-08-01,16.89855
2013-09-01,20.14663
2013-10-01,21.36414
2013-11-01,27.38001
2013-12-01,33.60885
2014-01-01,26.87702
2014-02-01,21.4293
2014-03-01,4.47123
2014-04-01,6.88453
2014-05-01,6.28344
2014-06-01,12.53079
2014-07-01,10.77947
2014-08-01,17.69223
2014-09-01,19.06484
