Tarih,TP_IYABGS4S_S14_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,33.85647
2007-02-01,
2007-03-01,
2007-04-01,34.34423
2007-05-01,
2007-06-01,
2007-07-01,15.68251
2007-08-01,
2007-09-01,
2007-10-01,13.4088
2007-11-01,
2007-12-01,
2008-01-01,15.69225
2008-02-01,
2008-03-01,
2008-04-01,17.84722
2008-05-01,
2008-06-01,
2008-07-01,13.34495
2008-08-01,
2008-09-01,
2008-10-01,9.2145
2008-11-01,
2008-12-01,
2009-01-01,10.04018
2009-02-01,
2009-03-01,
2009-04-01,13.23325
2009-05-01,
2009-06-01,
2009-07-01,22.18242
2009-08-01,
2009-09-01,
2009-10-01,12.29745
2009-11-01,
2009-12-01,
2010-01-01,15.05325
2010-02-01,
2010-03-01,
2010-04-01,23.61986
2010-05-01,
2010-06-01,
2010-07-01,14.15468
2010-08-01,
2010-09-01,
2010-10-01,13.01746
2010-11-01,
2010-12-01,
2011-01-01,14.52
2011-02-01,
2011-03-01,
2011-04-01,17.46544
2011-05-01,
2011-06-01,
2011-07-01,18.80099
2011-08-01,
2011-09-01,
2011-10-01,6.11309
2011-11-01,
2011-12-01,
2012-01-01,6.63265
2012-02-01,
2012-03-01,
2012-04-01,14.57963
2012-05-01,
2012-06-01,
2012-07-01,9.79854
2012-08-01,
2012-09-01,
2012-10-01,7.84737
2012-11-01,
2012-12-01,
2013-01-01,13.66531
2013-02-01,
2013-03-01,
2013-04-01,9.3095
2013-05-01,
2013-06-01,
2013-07-01,14.57152
2013-08-01,
2013-09-01,
2013-10-01,9.63253
2013-11-01,
2013-12-01,
2014-01-01,6.16799
2014-02-01,
2014-03-01,
2014-04-01,7.26254
2014-05-01,
2014-06-01,
2014-07-01,9.0063
2014-08-01,
2014-09-01,
2014-10-01,8.19055
2014-11-01,
2014-12-01,
2015-01-01,7.54717
2015-02-01,
2015-03-01,
2015-04-01,7.70841
2015-05-01,
2015-06-01,
2015-07-01,23.73271
2015-08-01,
2015-09-01,
2015-10-01,10.9306
2015-11-01,
2015-12-01,
2016-01-01,26.01537
2016-02-01,
2016-03-01,
2016-04-01,13.44344
2016-05-01,
2016-06-01,
2016-07-01,13.37142
2016-08-01,
2016-09-01,
2016-10-01,9.47419
2016-11-01,
2016-12-01,
2017-01-01,9.89895
2017-02-01,
2017-03-01,
2017-04-01,6.21877
2017-05-01,
2017-06-01,
2017-07-01,9.6076
2017-08-01,
2017-09-01,
2017-10-01,12.42278
2017-11-01,
2017-12-01,
2018-01-01,14.5615
2018-02-01,
2018-03-01,
2018-04-01,10.85622
2018-05-01,
2018-06-01,
2018-07-01,6.56427
2018-08-01,
2018-09-01,
2018-10-01,6.83532
2018-11-01,
2018-12-01,
2019-01-01,4.82309
2019-02-01,
2019-03-01,
2019-04-01,5.45861
2019-05-01,
2019-06-01,
2019-07-01,4.51315
2019-08-01,
2019-09-01,
2019-10-01,7.17034
2019-11-01,
2019-12-01,
2020-01-01,12.44466
2020-02-01,
2020-03-01,
2020-04-01,5.53525
2020-05-01,
2020-06-01,
2020-07-01,6.7928
2020-08-01,
2020-09-01,
2020-10-01,11.43871
2020-11-01,
2020-12-01,
2021-01-01,10.24335
2021-02-01,
2021-03-01,
2021-04-01,10.97985
2021-05-01,
2021-06-01,
2021-07-01,8.83613
2021-08-01,
2021-09-01,
2021-10-01,11.65701
2021-11-01,
2021-12-01,
2022-01-01,13.93469
2022-02-01,
2022-03-01,
2022-04-01,5.74582
2022-05-01,
2022-06-01,
2022-07-01,4.2306
2022-08-01,
2022-09-01,
2022-10-01,3.70264
2022-11-01,
2022-12-01,
2023-01-01,5.65896
2023-02-01,
2023-03-01,
2023-04-01,8.9595
2023-05-01,
2023-06-01,
2023-07-01,6.39717
2023-08-01,
2023-09-01,
2023-10-01,6.44657
2023-11-01,
2023-12-01,
2024-01-01,6.67529
2024-02-01,
2024-03-01,
2024-04-01,6.91146
2024-05-01,
2024-06-01,
2024-07-01,2.75303
2024-08-01,
2024-09-01,
2024-10-01,5.54546
2024-11-01,
2024-12-01,
2025-01-01,3.90538
2025-02-01,
2025-03-01,
2025-04-01,5.80494
2025-05-01,
2025-06-01,
2025-07-01,5.59841
