Tarih,TP_IYABGS4S_S08_A
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,46.56302
2007-02-01,
2007-03-01,
2007-04-01,59.03636
2007-05-01,
2007-06-01,
2007-07-01,48.79934
2007-08-01,
2007-09-01,
2007-10-01,55.32564
2007-11-01,
2007-12-01,
2008-01-01,53.3056
2008-02-01,
2008-03-01,
2008-04-01,61.60565
2008-05-01,
2008-06-01,
2008-07-01,50.93702
2008-08-01,
2008-09-01,
2008-10-01,38.56527
2008-11-01,
2008-12-01,
2009-01-01,32.16539
2009-02-01,
2009-03-01,
2009-04-01,32.65406
2009-05-01,
2009-06-01,
2009-07-01,34.7969
2009-08-01,
2009-09-01,
2009-10-01,38.24728
2009-11-01,
2009-12-01,
2010-01-01,31.58613
2010-02-01,
2010-03-01,
2010-04-01,29.44649
2010-05-01,
2010-06-01,
2010-07-01,35.52042
2010-08-01,
2010-09-01,
2010-10-01,32.63871
2010-11-01,
2010-12-01,
2011-01-01,41.91855
2011-02-01,
2011-03-01,
2011-04-01,42.92378
2011-05-01,
2011-06-01,
2011-07-01,43.15244
2011-08-01,
2011-09-01,
2011-10-01,43.7585
2011-11-01,
2011-12-01,
2012-01-01,36.98865
2012-02-01,
2012-03-01,
2012-04-01,42.55211
2012-05-01,
2012-06-01,
2012-07-01,38.41112
2012-08-01,
2012-09-01,
2012-10-01,44.18554
2012-11-01,
2012-12-01,
2013-01-01,42.21381
2013-02-01,
2013-03-01,
2013-04-01,43.52137
2013-05-01,
2013-06-01,
2013-07-01,47.37489
2013-08-01,
2013-09-01,
2013-10-01,46.21857
2013-11-01,
2013-12-01,
2014-01-01,42.62265
2014-02-01,
2014-03-01,
2014-04-01,42.81414
2014-05-01,
2014-06-01,
2014-07-01,42.43114
2014-08-01,
2014-09-01,
2014-10-01,36.25967
2014-11-01,
2014-12-01,
2015-01-01,40.84897
2015-02-01,
2015-03-01,
2015-04-01,50.36076
2015-05-01,
2015-06-01,
2015-07-01,49.53114
2015-08-01,
2015-09-01,
2015-10-01,48.72041
2015-11-01,
2015-12-01,
2016-01-01,49.91382
2016-02-01,
2016-03-01,
2016-04-01,49.17338
2016-05-01,
2016-06-01,
2016-07-01,47.39123
2016-08-01,
2016-09-01,
2016-10-01,47.21569
2016-11-01,
2016-12-01,
2017-01-01,50.50151
2017-02-01,
2017-03-01,
2017-04-01,52.57577
2017-05-01,
2017-06-01,
2017-07-01,60.05567
2017-08-01,
2017-09-01,
2017-10-01,59.76771
2017-11-01,
2017-12-01,
2018-01-01,51.09153
2018-02-01,
2018-03-01,
2018-04-01,51.06727
2018-05-01,
2018-06-01,
2018-07-01,50.86527
2018-08-01,
2018-09-01,
2018-10-01,48.11457
2018-11-01,
2018-12-01,
2019-01-01,47.38883
2019-02-01,
2019-03-01,
2019-04-01,48.90417
2019-05-01,
2019-06-01,
2019-07-01,48.63335
2019-08-01,
2019-09-01,
2019-10-01,43.09319
2019-11-01,
2019-12-01,
2020-01-01,48.77894
2020-02-01,
2020-03-01,
2020-04-01,26.7624
2020-05-01,
2020-06-01,
2020-07-01,35.51985
2020-08-01,
2020-09-01,
2020-10-01,42.46988
2020-11-01,
2020-12-01,
2021-01-01,47.59408
2021-02-01,
2021-03-01,
2021-04-01,38.81608
2021-05-01,
2021-06-01,
2021-07-01,50.65643
2021-08-01,
2021-09-01,
2021-10-01,45.79918
2021-11-01,
2021-12-01,
2022-01-01,51.2251
2022-02-01,
2022-03-01,
2022-04-01,45.77112
2022-05-01,
2022-06-01,
2022-07-01,49.5762
2022-08-01,
2022-09-01,
2022-10-01,43.97418
2022-11-01,
2022-12-01,
2023-01-01,48.07971
2023-02-01,
2023-03-01,
2023-04-01,45.26389
2023-05-01,
2023-06-01,
2023-07-01,55.85841
2023-08-01,
2023-09-01,
2023-10-01,54.69352
2023-11-01,
2023-12-01,
2024-01-01,54.19183
2024-02-01,
2024-03-01,
2024-04-01,53.5037
2024-05-01,
2024-06-01,
2024-07-01,54.01355
2024-08-01,
2024-09-01,
2024-10-01,54.68745
2024-11-01,
2024-12-01,
2025-01-01,52.58564
2025-02-01,
2025-03-01,
2025-04-01,56.59209
2025-05-01,
2025-06-01,
2025-07-01,57.71826
