Tarih,TP_IYA_INTM2_S05_X
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,447.0
2007-02-01,504.0
2007-03-01,466.0
2007-04-01,553.0
2007-05-01,546.0
2007-06-01,568.0
2007-07-01,546.0
2007-08-01,557.0
2007-09-01,571.0
2007-10-01,586.0
2007-11-01,605.0
2007-12-01,547.0
2008-01-01,551.0
2008-02-01,541.0
2008-03-01,589.0
2008-04-01,542.0
2008-05-01,566.0
2008-06-01,571.0
2008-07-01,552.0
2008-08-01,530.0
2008-09-01,582.0
2008-10-01,657.0
2008-11-01,570.0
2008-12-01,552.0
2009-01-01,722.0
2009-02-01,734.0
2009-03-01,706.0
2009-04-01,743.0
2009-05-01,744.0
2009-06-01,756.0
2009-07-01,726.0
2009-08-01,754.0
2009-09-01,766.0
2009-10-01,729.0
2009-11-01,762.0
2009-12-01,755.0
2010-01-01,745.0
2010-02-01,748.0
2010-03-01,733.0
2010-04-01,749.0
2010-05-01,741.0
2010-06-01,770.0
2010-07-01,883.0
2010-08-01,883.0
2010-09-01,877.0
2010-10-01,874.0
2010-11-01,822.0
2010-12-01,909.0
2011-01-01,872.0
2011-02-01,869.0
2011-03-01,895.0
2011-04-01,870.0
2011-05-01,827.0
2011-06-01,868.0
2011-07-01,954.0
2011-08-01,992.0
2011-09-01,1025.0
2011-10-01,985.0
2011-11-01,1013.0
2011-12-01,995.0
2012-01-01,982.0
2012-02-01,1033.0
2012-03-01,1045.0
2012-04-01,978.0
2012-05-01,1010.0
2012-06-01,1015.0
2012-07-01,963.0
2012-08-01,975.0
2012-09-01,968.0
2012-10-01,976.0
2012-11-01,982.0
2012-12-01,945.0
2013-01-01,916.0
2013-02-01,956.0
2013-03-01,948.0
2013-04-01,965.0
2013-05-01,976.0
2013-06-01,977.0
2013-07-01,1076.0
2013-08-01,1081.0
2013-09-01,1068.0
2013-10-01,1065.0
2013-11-01,1058.0
2013-12-01,1111.0
2014-01-01,1061.0
2014-02-01,1069.0
2014-03-01,1071.0
2014-04-01,1023.0
2014-05-01,1057.0
2014-06-01,1051.0
2014-07-01,1065.0
2014-08-01,1050.0
2014-09-01,1051.0
2014-10-01,1037.0
2014-11-01,1033.0
2014-12-01,1042.0
2015-01-01,1016.0
2015-02-01,1033.0
2015-03-01,1029.0
