Tarih,TP_IYA_INVE2_S17_B
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,19.0
2007-02-01,16.0
2007-03-01,31.1
2007-04-01,42.3
2007-05-01,49.9
2007-06-01,60.4
2007-07-01,36.6
2007-08-01,18.0
2007-09-01,56.0
2007-10-01,33.1
2007-11-01,31.6
2007-12-01,31.3
2008-01-01,34.7
2008-02-01,37.6
2008-03-01,31.3
2008-04-01,41.0
2008-05-01,38.6
2008-06-01,54.5
2008-07-01,36.3
2008-08-01,44.8
2008-09-01,47.2
2008-10-01,21.0
2008-11-01,20.1
2008-12-01,19.8
2009-01-01,20.1
2009-02-01,24.9
2009-03-01,28.5
2009-04-01,23.9
2009-05-01,44.1
2009-06-01,35.4
2009-07-01,55.7
2009-08-01,41.7
2009-09-01,42.5
2009-10-01,41.2
2009-11-01,51.9
2009-12-01,42.5
2010-01-01,44.3
2010-02-01,41.1
2010-03-01,33.5
2010-04-01,64.7
2010-05-01,68.8
2010-06-01,67.1
2010-07-01,66.7
2010-08-01,66.5
2010-09-01,36.6
2010-10-01,44.8
2010-11-01,60.4
2010-12-01,55.4
2011-01-01,57.1
2011-02-01,45.6
2011-03-01,49.7
2011-04-01,45.5
2011-05-01,35.1
2011-06-01,29.7
2011-07-01,59.0
2011-08-01,52.4
2011-09-01,34.8
2011-10-01,34.5
2011-11-01,39.2
2011-12-01,52.7
2012-01-01,41.1
2012-02-01,33.0
2012-03-01,37.6
2012-04-01,42.7
2012-05-01,40.6
2012-06-01,57.6
2012-07-01,48.5
2012-08-01,47.8
2012-09-01,33.0
2012-10-01,34.4
2012-11-01,34.2
2012-12-01,44.6
2013-01-01,34.6
2013-02-01,48.1
2013-03-01,33.8
2013-04-01,40.8
2013-05-01,44.3
2013-06-01,42.3
2013-07-01,44.1
2013-08-01,59.2
2013-09-01,50.2
2013-10-01,55.4
2013-11-01,33.7
2013-12-01,39.5
2014-01-01,39.7
2014-02-01,45.3
2014-03-01,37.6
2014-04-01,33.5
2014-05-01,28.6
2014-06-01,48.3
2014-07-01,40.9
2014-08-01,50.0
2014-09-01,32.9
2014-10-01,31.7
2014-11-01,55.0
2014-12-01,62.9
2015-01-01,56.0
2015-02-01,60.7
2015-03-01,53.1
2015-04-01,47.4
2015-05-01,56.2
