Tarih,TP_KKO2_IS_24
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,85.51627423
2007-02-01,88.20156442
2007-03-01,88.09718826
2007-04-01,91.18324632
2007-05-01,89.24965236
2007-06-01,90.73992137
2007-07-01,89.45422705
2007-08-01,89.25997898
2007-09-01,88.24588975
2007-10-01,86.73648254
2007-11-01,90.06165915
2007-12-01,82.09161082
2008-01-01,90.09556029
2008-02-01,90.24099465
2008-03-01,90.64896167
2008-04-01,87.92881655
2008-05-01,87.40448376
2008-06-01,90.72930099
2008-07-01,90.45359038
2008-08-01,89.01027072
2008-09-01,86.25036683
2008-10-01,78.74661906
2008-11-01,73.25844193
2008-12-01,70.90273217
2009-01-01,68.55041447
2009-02-01,71.87104778
2009-03-01,66.99252695
2009-04-01,63.53163514
2009-05-01,68.65007829
2009-06-01,75.2392223
2009-07-01,71.89478682
2009-08-01,76.59612435
2009-09-01,76.54169333
2009-10-01,71.74552555
2009-11-01,74.70985705
2009-12-01,73.10129662
2010-01-01,72.19066072
2010-02-01,66.72571075
2010-03-01,70.23828688
2010-04-01,77.71132923
2010-05-01,78.33138351
2010-06-01,77.6828634
2010-07-01,79.99071258
2010-08-01,75.84470948
2010-09-01,77.49307415
2010-10-01,74.10277051
2010-11-01,77.87134188
2010-12-01,77.70030687
2011-01-01,78.12408988
2011-02-01,75.50742756
2011-03-01,76.52940271
2011-04-01,75.89966538
2011-05-01,78.4474712
2011-06-01,80.0988628
2011-07-01,80.01336177
2011-08-01,78.84317205
2011-09-01,79.53351019
2011-10-01,81.23309307
2011-11-01,80.39559292
2011-12-01,78.12178549
2012-01-01,79.05723128
2012-02-01,78.62798377
2012-03-01,77.41639648
2012-04-01,82.87843707
2012-05-01,80.03754931
2012-06-01,78.96031496
2012-07-01,77.71029458
2012-08-01,78.08478381
2012-09-01,79.04419152
2012-10-01,79.32078144
2012-11-01,78.2221556
2012-12-01,80.96996964
2013-01-01,79.23581
2013-02-01,75.66276
2013-03-01,78.67761
2013-04-01,79.77262
2013-05-01,77.28646
2013-06-01,77.27302
2013-07-01,80.23011
2013-08-01,81.36528
2013-09-01,80.25857
2013-10-01,79.17065
2013-11-01,79.48493
2013-12-01,79.74307
2014-01-01,77.29305
2014-02-01,77.40549
2014-03-01,75.58267
