Tarih,TP_KKO2_IS_10
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,
2005-02-01,
2005-03-01,
2005-04-01,
2005-05-01,
2005-06-01,
2005-07-01,
2005-08-01,
2005-09-01,
2005-10-01,
2005-11-01,
2005-12-01,
2006-01-01,
2006-02-01,
2006-03-01,
2006-04-01,
2006-05-01,
2006-06-01,
2006-07-01,
2006-08-01,
2006-09-01,
2006-10-01,
2006-11-01,
2006-12-01,
2007-01-01,76.39885415
2007-02-01,65.96251301
2007-03-01,75.06814679
2007-04-01,76.40447976
2007-05-01,76.28746713
2007-06-01,75.40219269
2007-07-01,78.23474515
2007-08-01,77.19091742
2007-09-01,79.59644311
2007-10-01,80.66334497
2007-11-01,79.41877821
2007-12-01,78.59680865
2008-01-01,75.72973821
2008-02-01,74.35184015
2008-03-01,73.27216515
2008-04-01,73.52930632
2008-05-01,74.63020882
2008-06-01,74.21456141
2008-07-01,72.55506955
2008-08-01,75.48822519
2008-09-01,76.21795722
2008-10-01,76.89461992
2008-11-01,74.096468
2008-12-01,71.83449732
2009-01-01,70.30271736
2009-02-01,67.82946408
2009-03-01,65.25523097
2009-04-01,67.65471125
2009-05-01,68.9605622
2009-06-01,72.74218071
2009-07-01,69.66555964
2009-08-01,71.28635137
2009-09-01,69.16955548
2009-10-01,71.28992382
2009-11-01,71.93124785
2009-12-01,71.4411309
2010-01-01,72.03825189
2010-02-01,71.32642798
2010-03-01,70.97551277
2010-04-01,72.69213313
2010-05-01,72.73828073
2010-06-01,68.96873149
2010-07-01,69.86931254
2010-08-01,69.22748429
2010-09-01,70.49576187
2010-10-01,75.16175444
2010-11-01,75.64614688
2010-12-01,75.11870493
2011-01-01,71.80780503
2011-02-01,71.23149428
2011-03-01,69.75078769
2011-04-01,68.67127246
2011-05-01,69.73490607
2011-06-01,71.21278482
2011-07-01,71.83707418
2011-08-01,70.71452513
2011-09-01,70.2446013
2011-10-01,73.42746434
2011-11-01,73.68967914
2011-12-01,72.9700706
2012-01-01,71.05266663
2012-02-01,71.47239573
2012-03-01,69.43408745
2012-04-01,69.68021663
2012-05-01,70.02692757
2012-06-01,71.7958823
2012-07-01,72.6542811
2012-08-01,72.53246672
2012-09-01,73.38172498
2012-10-01,74.40372239
2012-11-01,74.3714174
2012-12-01,75.01729956
2013-01-01,72.74253
2013-02-01,72.79946
2013-03-01,72.07136
2013-04-01,72.63656
2013-05-01,72.72913
2013-06-01,72.4095
2013-07-01,73.94703
2013-08-01,73.07267
2013-09-01,73.40119
2013-10-01,75.5906
2013-11-01,75.35769
2013-12-01,75.64492
2014-01-01,73.36877
2014-02-01,73.41065
2014-03-01,72.98779
