Tarih,TP_TIG03
2000-01-01,
2000-02-01,
2000-03-01,
2000-04-01,
2000-05-01,
2000-06-01,
2000-07-01,
2000-08-01,
2000-09-01,
2000-10-01,
2000-11-01,
2000-12-01,
2001-01-01,
2001-02-01,
2001-03-01,
2001-04-01,
2001-05-01,
2001-06-01,
2001-07-01,
2001-08-01,
2001-09-01,
2001-10-01,
2001-11-01,
2001-12-01,
2002-01-01,
2002-02-01,
2002-03-01,
2002-04-01,
2002-05-01,
2002-06-01,
2002-07-01,
2002-08-01,
2002-09-01,
2002-10-01,
2002-11-01,
2002-12-01,
2003-01-01,
2003-02-01,
2003-03-01,
2003-04-01,
2003-05-01,
2003-06-01,
2003-07-01,
2003-08-01,
2003-09-01,
2003-10-01,
2003-11-01,
2003-12-01,
2004-01-01,
2004-02-01,
2004-03-01,
2004-04-01,
2004-05-01,
2004-06-01,
2004-07-01,
2004-08-01,
2004-09-01,
2004-10-01,
2004-11-01,
2004-12-01,
2005-01-01,19267.0
2005-02-01,19180.0
2005-03-01,19263.0
2005-04-01,19279.0
2005-05-01,19270.0
2005-06-01,19326.0
2005-07-01,19312.0
2005-08-01,19413.0
2005-09-01,19468.0
2005-10-01,19488.0
2005-11-01,19523.0
2005-12-01,19479.0
2006-01-01,19296.0
2006-02-01,19359.0
2006-03-01,19391.0
2006-04-01,19586.0
2006-05-01,19663.0
2006-06-01,19729.0
2006-07-01,19755.0
2006-08-01,19831.0
2006-09-01,19937.0
2006-10-01,19896.0
2006-11-01,20080.0
2006-12-01,20151.0
2007-01-01,19945.0
2007-02-01,20108.0
2007-03-01,20038.0
2007-04-01,19918.0
2007-05-01,20061.0
2007-06-01,20054.0
2007-07-01,20052.0
2007-08-01,20191.0
2007-09-01,20045.0
2007-10-01,19924.0
2007-11-01,19857.0
2007-12-01,19886.0
2008-01-01,20147.0
2008-02-01,20151.0
2008-03-01,20278.0
2008-04-01,20490.0
2008-05-01,20422.0
2008-06-01,20473.0
2008-07-01,20675.0
2008-08-01,20528.0
2008-09-01,20554.0
2008-10-01,20587.0
2008-11-01,20333.0
2008-12-01,20205.0
2009-01-01,20292.0
2009-02-01,20175.0
2009-03-01,20081.0
2009-04-01,20023.0
2009-05-01,20143.0
2009-06-01,20353.0
2009-07-01,20544.0
2009-08-01,20723.0
2009-09-01,20842.0
2009-10-01,20915.0
2009-11-01,21082.0
2009-12-01,21248.0
2010-01-01,21315.0
2010-02-01,21492.0
2010-03-01,21685.0
2010-04-01,21644.0
2010-05-01,21715.0
2010-06-01,21800.0
2010-07-01,21814.0
2010-08-01,21837.0
2010-09-01,21869.0
2010-10-01,21967.0
2010-11-01,22236.0
2010-12-01,22402.0
2011-01-01,22765.0
2011-02-01,23012.0
2011-03-01,23010.0
2011-04-01,23020.0
2011-05-01,23000.0
2011-06-01,23024.0
2011-07-01,23336.0
2011-08-01,23333.0
2011-09-01,23373.0
2011-10-01,23409.0
2011-11-01,23293.0
2011-12-01,23340.0
2012-01-01,23290.0
2012-02-01,23216.0
2012-03-01,23396.0
2012-04-01,23569.0
2012-05-01,23670.0
2012-06-01,23711.0
2012-07-01,23623.0
2012-08-01,23672.0
2012-09-01,23840.0
2012-10-01,24145.0
2012-11-01,24306.0
2012-12-01,24350.0
2013-01-01,24481.0
2013-02-01,24600.0
2013-03-01,24564.0
2013-04-01,24486.0
2013-05-01,24478.0
2013-06-01,24408.0
2013-07-01,24291.0
2013-08-01,24365.0
2013-09-01,24437.0
2013-10-01,24480.0
2013-11-01,24588.0
2013-12-01,24740.0
2014-01-01,25434.0
